unitid,name,2013_program_name,match_2013__best_title,match_2013__best_source,match_2013__best_kind,match_2013__match_level,match_2013__match_score,program_buckets_hit,match_2013__detail,discovered__program_titles__crawl,discovered__program_titles__cv,discovered__signal_titles,discovered__all_titles,discovered__new_titles_unmatched,discovered__new_program_titles_when_best_signal,total_controls_found,controls_sufficiency,college_vine_ctrl_status,best_guess_inventory_url,best_guess_inventory_reason,college_vine_site,college_vine_url,Web_address,city,state,control
199148,University of North Carolina at Greensboro,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,9,warning_10_MajorsFound,cv_unresolved,https://www.uncg.edu/academics-support/degrees-programs/online-degrees/philosophy-b-a/,score=137;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=3;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/university-of-north-carolina-at-greensboro/majors,www.uncg.edu/,Greensboro,North Carolina,Public
199218,University of North Carolina Wilmington,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,2,warning_10_MajorsFound,cv_unresolved,https://www.uncw.edu/academics/colleges/wce/academic-programs/admissions-advising/index.html,score=628;tier=inventory;hubSig=4;listingLinks=72;slugDiv=1;structHits=4;ctrlStructured=2;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/university-of-north-carolina-wilmington/majors,www.uncw.edu/,Wilmington,North Carolina,Public
207500,University of Oklahoma-Norman Campus,African and African American Studies Program,Volcanoes may have helped spread the Black Death,crawl,program,winner_override,0.3342857142857143,,"winner_override: patch1:best_available | ref=""African and African American Studies Program"" ~ cand=""Volcanoes may have helped spread the Black Death"" score=0.33","Oldest known cremation pyre in Africa reveals mysterious woman who lived 9,500 years ago|Volcanoes may have helped spread the Black Death",,,"Oldest known cremation pyre in Africa reveals mysterious woman who lived 9,500 years ago|Volcanoes may have helped spread the Black Death","Oldest known cremation pyre in Africa reveals mysterious woman who lived 9,500 years ago|Volcanoes may have helped spread the Black Death",,1,warning_10_MajorsFound,cv_unresolved,https://www.ou.edu/studentaffairs/about-us/departments,score=250;tier=inventory;hubSig=0;listingLinks=2;slugDiv=2;structHits=1;ctrlStructured=0;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/university-of-oklahoma-norman-campus/majors,www.ou.edu/,Norman,Oklahoma,Public
236328,University of Puget Sound,African American Studies Program,,,,NO_MATCH,0.0,,"fuzzy_syn: rejected by strong_ref_gate filter cand=""Race and Pedagogy Institute"" score=0.10",Race and Pedagogy Institute,,Race and Pedagogy Institute,Race and Pedagogy Institute,Race and Pedagogy Institute,,1,warning_10_MajorsFound,cv_unresolved,https://www.pugetsound.edu/departments-and-programs,score=424;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/of-puget-sound/majors,www.pugetsound.edu/,Tacoma,Washington,Private not-for-profit
122436,University of San Diego,Ethnic Studies Department,,,,NO_MATCH,0.0,,,,,,,,,0,warning_10_MajorsFound,cv_unresolved,https://catalog.sandiego.edu/,score=80;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/of-san-diego/majors,www.sandiego.edu/,San Diego,California,Private not-for-profit
123961,University of Southern California,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,4,warning_10_MajorsFound,cv_unresolved,https://www.usc.edu/academics/majors/,score=486;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=4;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/of-southern-california/majors,www.usc.edu/,Los Angeles,California,Private not-for-profit
176372,University of Southern Mississippi,Black Studies Center,,,,NO_MATCH,0.0,,,,,,,,,6,warning_10_MajorsFound,cv_unresolved,https://www.usm.edu/undergraduate-programs/programs-gateway.php,score=315;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/of-southern-mississippi/majors,www.usm.edu/,Hattiesburg,Mississippi,Public
206084,University of Toledo,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,3,warning_10_MajorsFound,cv_unresolved,"https://www.utoledo.edu/programs/?filters=undergraduate,oncampus",score=462;tier=inventory;hubSig=0;listingLinks=2;slugDiv=2;structHits=5;ctrlStructured=3;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/of-toledo/majors,www.utoledo.edu/,Toledo,Ohio,Public
236948,University of Washington-Seattle Campus,American Ethnic Studies Department,,,,NO_MATCH,0.0,,,,,,,,,0,warning_10_MajorsFound,cv_unresolved,https://www.washington.edu/academics/majors,score=440;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/university-of-washington-seattle-campus/majors,www.washington.edu/,Seattle,Washington,Public
216597,Villanova University,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,0,,,,,,,www.villanova.edu/,Villanova,Pennsylvania,Private not-for-profit
141325,Wesleyan College,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,5,warning_10_MajorsFound,cv_unresolved,https://www.wesleyancollege.edu/academics/undergraduate/majorsminors/majors-minors.cfm,score=361;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=4;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/allegheny-wesleyan-college/majors,www.wesleyancollege.edu/,Macon,Georgia,Private not-for-profit
168342,Williams College,Africana Studies Program,,,,NO_MATCH,0.0,,,,,,,,,0,,,,,,,www.williams.edu/,Williamstown,Massachusetts,Private not-for-profit
