unitid,name,2013_program_name,match_2013__best_title,match_2013__best_source,match_2013__best_kind,match_2013__match_level,match_2013__match_score,program_buckets_hit,match_2013__detail,discovered__program_titles__crawl,discovered__program_titles__cv,discovered__signal_titles,discovered__all_titles,discovered__new_titles_unmatched,discovered__new_program_titles_when_best_signal,total_controls_found,controls_sufficiency,college_vine_ctrl_status,best_guess_inventory_url,best_guess_inventory_reason,college_vine_site,college_vine_url,Web_address,city,state,control
221838,Tennessee State University,"History, Political Science, Geography and Africana Studies Department",,,,NO_MATCH,0.0,,,,,,,,,2,warning_10_MajorsFound,passed_ctrl_thresh,https://www.tnstate.edu/academics/programs,score=463;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/tennessee-state-university/majors,www.tnstate.edu/,Nashville,Tennessee,Public
228459,Texas State University,Multicultural and Gender Studies Center,,,,NO_MATCH,0.0,,,,,,,,,0,warning_10_MajorsFound,passed_ctrl_thresh,https://www.txst.edu/academics/programs/,score=440;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/texas-state-university/majors,www.txst.edu/,San Marcos,Texas,Public
228769,The University of Texas at Arlington,African American Studies Center,,,,NO_MATCH,0.0,,,,,,,,,0,warning_10_MajorsFound,passed_ctrl_thresh,https://www.uta.edu/academics/programs?degreeLevels=B,score=430;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=0;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/the-university-of-texas-at-arlington/majors,www.uta.edu/,Arlington,Texas,Public
228796,The University of Texas at El Paso,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,17,sufficient majors,passed_ctrl_thresh,https://www.utep.edu/catalog/20252026,score=224;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=0;flags=yearHit,1,https://www.collegevine.com/schools/hub/all/d/the-university-of-texas-at-el-paso/majors,www.utep.edu/,El Paso,Texas,Public
132903,University of Central Florida,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,16,sufficient majors,passed_ctrl_thresh,https://www.ucf.edu/majors/,score=524;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=16;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/university-of-central-florida/majors,www.ucf.edu/,Orlando,Florida,Public
169716,University of Detroit Mercy,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,12,sufficient majors,cv_unresolved,http://www.udmercy.edu/academics/catalog/undergraduate2025-2026/colleges/eng-sci/7yr-bio-dds.php,score=349;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=11;canonicalHub=0;flags=yearHit,0,https://www.collegevine.com/schools/hub/all/d/university-of-detroit-mercy/majors,www.udmercy.edu/,Detroit,Michigan,Private not-for-profit
121691,University of Redlands,Race and Ethnic Studies Department,,,,NO_MATCH,0.0,,,,,,,,,13,sufficient majors,cv_unresolved,https://www.redlands.edu/programs/,score=502;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=13;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/of-redlands/majors,www.redlands.edu/,Redlands,California,Private not-for-profit
207971,University of Tulsa,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,4,warning_10_MajorsFound,passed_ctrl_thresh,https://utulsa.edu/programs/,score=432;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=3;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/university-of-tulsa/majors,utulsa.edu/,Tulsa,Oklahoma,Private not-for-profit
231174,University of Vermont,Ethnic Studies Program,,,,NO_MATCH,0.0,,,,,,,,,15,sufficient majors,passed_ctrl_thresh,https://www.uvm.edu/academics/programs?search=&expose_filters=on&type%5B0%5D=478&type%5B1%5D=2743&page=5,score=468;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=7;canonicalHub=1;flags=,1,https://www.collegevine.com/schools/hub/all/d/university-of-vermont/majors,www.uvm.edu/,Burlington,Vermont,Public
240365,University of Wisconsin-Oshkosh,African American Studies Program,,,,NO_MATCH,0.0,,,,,,,,,13,sufficient majors,cv_unresolved,https://www.uwosh.edu/academics/programs/,score=517;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=3;canonicalHub=1;flags=,0,https://www.collegevine.com/schools/hub/all/d/university-of-wisconsin-oshkosh/majors,www.uwosh.edu/,Oshkosh,Wisconsin,Public
187444,William Paterson University of New Jersey,Africana World Studies Department,,,,NO_MATCH,0.0,,,,,,,,,15,sufficient majors,cv_unresolved,https://www.wpunj.edu/academics/online-degree-programs/index.html,score=680;tier=other;hubSig=6;listingLinks=78;slugDiv=19;structHits=7;ctrlStructured=15;canonicalHub=0;flags=,0,https://www.collegevine.com/schools/hub/all/d/william-paterson-university-of-new-jersey/majors,www.wpunj.edu/,Wayne,New Jersey,Public
