unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
214148,Moore College of Art and Design,www.moore.edu/,Philadelphia,Pennsylvania,Private not-for-profit,"Special Focus: Arts, Music, and Design","Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,"Special Focus: Arts, Music, and Design",Special Focus: Arts and Sciences,Very Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.moore.edu/course-catalog,score=170;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://www.moore.edu/course-catalog/|https://www.moore.edu/|https://www.moore.edu/,1,bachelor|degrees|majors|programs,1,1,"1916 Race Street Philadelphia , PA 19103",,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/moore-college-of-art-and-design/majors,cv_unresolved,0,,,,,Race,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119137,Moorpark College,www.moorparkcollege.edu/index.shtml,Moorpark,California,Public,Mixed Associate Large,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Large,Online and on-campus learning,Associate,Not Classified,Not Classified,http://www.moorparkcollege.edu/departments,score=430;tier=inventory;hubSig=0;listingLinks=9;slugDiv=3;structHits=3;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.moorparkcollege.edu/departments|https://www.moorparkcollege.edu/college-catalog|https://www.moorparkcollege.edu/catalog|https://www.moorparkcollege.edu/college-catalog/|https://www.moorparkcollege.edu/catalog/,0,bachelor|degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/moorpark-college/majors,cv_unresolved,0,,,,,race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239372,Moraine Park Technical College,www.morainepark.edu/,Fond du Lac,Wisconsin,Public,Professions-focused Associate Large/Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.morainepark.edu/academics/programs/?sort=relation,score=934;tier=inventory;hubSig=6;listingLinks=122;slugDiv=122;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.morainepark.edu/academics/programs/?sort=alpha|https://www.morainepark.edu/academics/programs/|https://www.morainepark.edu/programs/|https://www.morainepark.edu/programs|https://www.morainepark.edu/academics/programs,1,degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/aiken-technical-college/majors,cv_unresolved,0,,African,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147378,Moraine Valley Community College,www.morainevalley.edu/,Palos Hills,Illinois,Public,Mixed Associate Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.morainevalley.edu/programs,score=480;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=10;canonicalHub=1;flags=,exceptions_seen,https://www.morainevalley.edu/academics/academic-programs/|https://www.morainevalley.edu/academics/academic-programs/transfer-programs/transfer-agreements/|https://www.morainevalley.edu/academics/academic-programs/social-sciences/|https://www.morainevalley.edu/academics/academic-programs/transfer-programs/|https://www.morainevalley.edu/academics/academic-programs/transfer-programs/transfer-guides/out-of-state-schools/,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,13,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/moraine-valley-community-college/majors,cv_unresolved,0,,,,,,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
214157,Moravian University,www.moravian.edu/,Bethlehem,Pennsylvania,Private not-for-profit,Mixed Undergraduate/Graduate-Master's Small,"Lower Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Special Focus: Other Health Professions,Small,Highly residential,Master's,Not Classified,Not Classified,https://www.moravian.edu/academics/programs,score=526;tier=inventory;hubSig=0;listingLinks=2;slugDiv=1;structHits=7;ctrlStructured=14;canonicalHub=1;flags=,exceptions_seen,https://www.moravian.edu/majors|https://www.moravian.edu/majors/|https://www.moravian.edu/academics/programs/|https://www.moravian.edu/physics/programs-of-study/physics|https://www.moravian.edu/physics/programs-of-study/engineering,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,Africana Studies,,15,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/moravian-university/majors,cv_unresolved,0,,Africa|Africana,,,,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
157386,Morehead State University,www.moreheadstate.edu/,Morehead,Kentucky,Public,Professions-focused Undergraduate/Graduate-Master's Large/Medium,"Higher Access, Medium Earnings",Research Colleges and Universities,Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Medium,Highly residential,Master's,Classified,Not Classified,https://www.moreheadstate.edu/academics/programs/,score=955;tier=inventory;hubSig=5;listingLinks=209;slugDiv=173;structHits=7;ctrlStructured=15;canonicalHub=1;flags=,exceptions_seen,https://www.moreheadstate.edu/academics/programs/index|https://www.moreheadstate.edu/about-msu/a-to-z|https://www.moreheadstate.edu/academics/programs/engineering-technology-bs|https://www.moreheadstate.edu/academics/programs/computer-science-area-bs|https://www.moreheadstate.edu/academics/programs/computer-science-bs,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,15,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/morehead-state-university/majors,cv_unresolved,0,,,,Black|Blackboard,,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
140562,Morehouse School of Medicine,www.msm.edu/,Atlanta,Georgia,Private not-for-profit,Special Focus: Medical Schools and Centers,Not Classified,Research Colleges and Universities,Graduate-focused,Special Focus: Medical Schools and Centers,Special Focus: Medical Schools and Centers,Small,Graduate-focused,Doctorate,Classified,Not Classified,https://www.msm.edu/Education/AcademicCatalogs.php,score=168;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=2;canonicalHub=0;flags=,exceptions_seen,https://www.msm.edu/Research/sponsoredResearch/sponsoredprograms/documents/DepartmentsandInstitutes.docx|https://www.msm.edu/Education/documents/AcademicCatalog2019-2021_updated.pdf|https://www.msm.edu/Education/documents/AcademicCatalog2016-2017.pdf|https://www.msm.edu/Education/documents/AcademicCatalog2015-2016.pdf|https://www.msm.edu/Education/documents/AcademicCatalog2017-2019.pdf,1,BA|BS|degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/morehouse-school-of-medicine/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
460394,Moreno Valley College,www.mvc.edu/,Moreno Valley,California,Public,Mixed Associate Medium,"Lower Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.mvc.edu/academics/stem.php,score=533;tier=other;hubSig=5;listingLinks=19;slugDiv=17;structHits=4;ctrlStructured=7;canonicalHub=0;flags=,exceptions_seen,https://www.mvc.edu/academics/social-behavioral-sciences.php|https://www.mvc.edu/academics/programs|https://www.mvc.edu/academics/programs/|https://www.mvc.edu/programs|https://www.mvc.edu/programs/,1,bachelor|degrees|majors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/moreno-valley-college/majors,cv_unresolved,0,,,ethnic,,racial,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
127617,Morgan Community College,www.morgancc.edu/,Fort Morgan,Colorado,Public,Professions-focused Associate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Small,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,https://catalog.morgancc.edu/,score=74;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=1;canonicalHub=0;flags=yearHit,403_forbidden_seen,,1,degrees|majors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/morgan-community-college/majors,cv_unresolved,0,,,ethnic,,race,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
163453,Morgan State University,www.morgan.edu/,Baltimore,Maryland,Public,Mixed Undergraduate/Graduate-Master's Large/Medium,"Higher Access, Medium Earnings",Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Master's,Mixed,Professions-focused,Medium,Primarily residential,Doctorate,Not Classified,Not Classified,https://www.morgan.edu/information-science-and-systems/academic-programs/undergraduate,score=333;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=2;canonicalHub=0;flags=,exceptions_seen,https://www.morgan.edu/academics/academic-programs/online-degrees|https://www.morgan.edu/academics/departments-a-to-z|https://www.morgan.edu/information-science-and-systems/academic-programs|https://www.morgan.edu/cics/programs|https://www.morgan.edu/college-of-interdisciplinary-and-continuing-studies/programs,1,BS|bachelor|degrees|majors|minors|programs,1,0,,,15,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/morgan-state-university/majors,passed_ctrl_thresh,1,African-American/Black Studies,,,,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
