unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
442064,Won Institute of Graduate Studies,www.woninstitute.edu/,Warminster,Pennsylvania,Private not-for-profit,Special Focus: Other Health Professions,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Very Small,Graduate-focused,Doctorate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,no_candidates,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488907,Wongu University of Oriental Medicine,www.wongu.edu/,Las Vegas,Nevada,Private not-for-profit,Special Focus: Other Health Professions,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.wongu.edu/catalog/2526,score=210;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.wongu.edu/catalog/20252026|https://www.wongu.edu/catalog/|https://www.wongu.edu/course-catalog|https://www.wongu.edu/catalog|https://www.wongu.edu/course-catalog/,0,programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/wongu-university-of-oriental-medicine/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125897,Woodbury University,woodbury.edu/,Burbank,California,Private not-for-profit,Professions-focused Baccalaureate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Special Focus: Business,Small,Residential,Master's,Not Classified,Not Classified,https://woodbury.edu/catalog/2526,score=671;tier=catalog;hubSig=5;listingLinks=22;slugDiv=21;structHits=3;ctrlStructured=4;canonicalHub=0;flags=yearHit,429_rate_limited_seen,https://woodbury.edu/catalog/20252026|https://woodbury.edu/catalog/|https://woodbury.edu/catalog|https://woodbury.edu/academics/resources/making-complex/|https://woodbury.edu/program/school-of-architecture/programs/applied-computer-science/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,4,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/woodbury-university/majors,failed_ctrl_thresh,0,,Africa|African,ethnic|ethnicity,black,race|racial,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
455512,Woodland Community College,wcc.yccd.edu/,Woodland,California,Public,Mixed Associate Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://wcc.yccd.edu/programs/,score=982;tier=inventory;hubSig=6;listingLinks=96;slugDiv=48;structHits=2;ctrlStructured=13;canonicalHub=1;flags=,429_rate_limited_seen,https://wcc.yccd.edu/programs|https://wcc.yccd.edu/academics/catalog/2526|https://wcc.yccd.edu/academics/catalog/|https://wcc.yccd.edu/catalog/|https://wcc.yccd.edu/catalog,1,degrees|programs,1,1,Ethnic Studies,,13,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/woodland-community-college/majors,cv_unresolved,0,,Africa|African,Ethnic,bLACK-WCC-Logo-Transparent,,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
168421,Worcester Polytechnic Institute,www.wpi.edu/,Worcester,Massachusetts,Private not-for-profit,"Special Focus: Technology, Engineering, and Sciences","Lower Access, Higher Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,"Special Focus: Technology, Engineering, and Sciences","Special Focus: Technology, Engineering, and Sciences",Medium,Primarily residential,Doctorate,Not Classified,Not Classified,https://www.wpi.edu/academics/departments,score=877;tier=inventory;hubSig=5;listingLinks=37;slugDiv=37;structHits=2;ctrlStructured=8;canonicalHub=1;flags=,403_forbidden_seen,https://www.wpi.edu/academics|https://www.wpi.edu/academics/schools-departments-programs|http://www.wpi.edu/student-experience/career-development/majors/career-outlook/international-global-studies|https://www.wpi.edu/academics/study?degree=bachelor|https://www.wpi.edu/academics/study,1,BA|BS|bachelor|degrees|majors|minors|programs,1,2,Africana Studies|Degree in Africana Studies,,13,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/worcester-polytechnic-institute/majors,failed_ctrl_thresh,0,,Africa|African|Africana,,Black|black,Race|race,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
168430,Worcester State University,www.worcester.edu/,Worcester,Massachusetts,Public,Mixed Undergraduate/Graduate-Master's Large/Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Professions-focused,Medium,Primarily residential,Master's,Classified,Not Classified,https://www.worcester.edu/majors-minors/,score=794;tier=inventory;hubSig=4;listingLinks=139;slugDiv=138;structHits=5;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.worcester.edu/catalog/|https://www.worcester.edu/catalog|https://www.worcester.edu/programs/|https://www.worcester.edu/majors-minors|https://www.worcester.edu/programs,1,BA|BS|bachelor|degrees|majors|minors|programs,1,5,African and African Diaspora Studies|African and African Diaspora Studies Minor|Ethnic Studies|Ethnic Studies Minor|Ethnic Studies Minor Ethnic Studies Minor Gerontology Gerontology Minor Global Studies Global Studies Liberal Studies Liberal Studies Major,,12,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/worcester-state-university/majors,failed_ctrl_thresh,0,,Africa|African|Africana|african,Ethnic|Ethnicity|ethnic|ethnicity,Blackboard|black,Race|Racial|race|racial,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
401223,World Mission University,www.wmu.edu/,Los Angeles,California,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus:  Theological Studies,Special Focus:  Theological Studies,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.wmu.edu/catalog/2526,score=242;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=3;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.wmu.edu/catalog/20252026|https://www.wmu.edu/catalog|https://www.wmu.edu/catalog/|https://www.wmu.edu/|https://www.wmu.edu/,1,BA|BS|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/world-mission-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
369455,Worsham College of Mortuary Science,www.worsham.edu/,Wheeling,Illinois,Private for-profit,Special Focus: Applied and Career Studies,Not Classified,"Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.worsham.edu/,score=64;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=0;flags=,exceptions_seen,https://www.worsham.edu/,1,degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/worsham-college-of-mortuary-science/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164313,Wor-Wic Community College,www.worwic.edu/,Salisbury,Maryland,Public,Professions-focused Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.worwic.edu/academics/programs/,score=420;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.worwic.edu/academics/programs|https://www.worwic.edu/programs|https://www.worwic.edu/programs/|https://www.worwic.edu/programs-courses/credit-programs/stem/|https://www.worwic.edu/programs-courses/program-course-finder/,1,bachelor|degrees|majors|programs,1,0,,,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/aims-community-college/majors,cv_unresolved,0,,,,,,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0
206613,Wright State University-Lake Campus,lake.wright.edu/,Celina,Ohio,Public,Professions-focused Baccalaureate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,N/A,Small,Primarily non-residential,Bachelor's,Not Classified,Not Classified,https://lake.wright.edu/majors,score=462;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=3;canonicalHub=1;flags=,403_forbidden_seen,https://lake.wright.edu/majors/|https://lake.wright.edu/degrees-and-programs/bachelor-of-science-in-mechanical-engineering|https://lake.wright.edu/degrees-and-programs/bachelor-of-arts-in-psychology|https://lake.wright.edu/degrees-and-programs/bachelor-of-science-in-business-in-general-business|https://lake.wright.edu/degrees-and-programs/bachelor-of-science-in-integrated-science-studies,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,5,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/wright-state-university-lake-campus/majors,cv_unresolved,0,,,,,,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
