unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
459259,South University-Richmond,,Glen Allen,Virginia,Private for-profit,Special Focus: Nursing,"Higher Access, Lower Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Special Focus: Nursing,Special Focus: Other Health Professions,Small,Online and on-campus learning,Master's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139579,South University-Savannah,,Savannah,Georgia,Private for-profit,Special Focus: Other Health Professions,"Higher Access, Medium Earnings","Not classified, not in classification universe",Graduate-focused,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Small,Graduate-focused,Doctorate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475121,South University-Savannah Online,,Savannah,Georgia,Private for-profit,Special Focus: Other Health Professions,"Higher Access, Lower Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Special Focus: Other Health Professions,Special Focus: Nursing,Medium,Primarily online,Doctorate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449898,South University-Tampa,,Tampa,Florida,Private for-profit,Special Focus: Nursing,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Special Focus: Nursing,Special Focus: Nursing,Small,"Mostly full-time, not residential",Master's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459268,South University-Virginia Beach,,Virginia Beach,Virginia,Private for-profit,Special Focus: Other Health Professions,"Higher Access, Lower Earnings","Not classified, not in classification universe",Baccalaureate,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Small,"Mostly full-time, not residential",Bachelor's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133465,South University-West Palm Beach,,Royal Palm Beach,Florida,Private for-profit,Special Focus: Nursing,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Special Focus: Nursing,Special Focus: Other Health Professions,Small,"Mostly full-time, not residential",Master's,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156338,Southcentral Kentucky Community and Technical College,,Bowling Green,Kentucky,Public,Mixed Associate Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107637,Southeast Arkansas College,,Pine Bluff,Arkansas,Public,Mixed Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181640,Southeast Community College Area,,Lincoln,Nebraska,Public,Professions-focused Associate Large/Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,Primarily non-residential,Associate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157739,Southeast Kentucky Community & Technical College,,Cumberland,Kentucky,Public,Mixed Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
