unitid,name,2013_program_name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience
212911,Haverford College,Africana Studies Concentration,www.haverford.edu/,Haverford,Pennsylvania,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Higher Earnings",Research Colleges and Universities,Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://catalog.haverford.edu/,score=148;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=17;canonicalHub=0;flags=,403_forbidden_seen,,1,degrees|majors|minors|programs,1,1,African and Africana Studies,,17,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/haverford-college/majors,passed_ctrl_thresh,0,,African|Africana,,,,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
191630,Hobart William Smith Colleges,Africana Studies Program,www.hws.edu/,Geneva,New York,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Higher Earnings",Research Colleges and Universities,Baccalaureate,Special Focus: Arts and Sciences,Special Focus: Business,Small,Highly residential,Bachelor's,Classified,Not Classified,https://www.hws.edu/academics/academic-programs.aspx,score=361;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=14;canonicalHub=0;flags=,exceptions_seen,https://www.hws.edu/catalogue/individual-majors.aspx|https://www.hws.edu/catalogue|https://www.hws.edu/catalogue/|https://www.hws.edu/catalogue/calendar.aspx|https://www.hws.edu/academics/research.aspx,1,BA|BS|majors|minors|programs,1,4,"Africana Studies|Africana Studies Faculty Directory|Africana Studies News|Minor Africana Studies Africa, Diaspora, undecided",,15,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/hobart-william-smith-colleges/majors,passed_ctrl_thresh,1,African Studies,AFRICANA|Africa|African|Africana,,BLACKLIVESMATTER|Black|BlackStudiesMatter,Race|race|racial,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
131520,Howard University,Afro‐American Studies Department,www.howard.edu/,Washington,District of Columbia,Private not-for-profit,Mixed Undergraduate/Graduate-Doctorate Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Mixed,Professions-focused,Medium,Highly residential,Doctorate,Not Classified,Not Classified,https://www.howard.edu/fields-of-study,score=502;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=13;canonicalHub=1;flags=,exceptions_seen,https://www.howard.edu/academics|https://www.howard.edu/about/howard-glance|https://www.howard.edu/H3SP|https://www.howard.edu/|https://www.howard.edu/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,10,"African Studies|African Studies (B.A.)|African Studies (MA, PhD)|African Studies (Ph.D.)|Afro American Studies (B.A.)|Afro-American Studies|Highest number of black communications graduates|Howard University is the leading producer of African American students|Most black bachelor's degree graduates in communications and journalism.|The most black students earning professional doctorates according to Diverse Issues in Higher Education .",,13,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/howard-university/majors,passed_ctrl_thresh,2,African Studies|African-American/Black Studies,African|Afro American|Afro-American|Pan-African,,Black|Black-majority|black,Race|Racial,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
145813,Illinois State University,Ethnic Studies Program,illinoisstate.edu/,Normal,Illinois,Public,Professions-focused Undergraduate/Graduate-Master's Large/Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings",Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Large,Primarily residential,Doctorate,Classified,Not Classified,https://illinoisstate.edu/academics/majors/,score=524;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=16;canonicalHub=1;flags=,5xx_seen,https://illinoisstate.edu/academics/majors|https://illinoisstate.edu/majors/|https://illinoisstate.edu/majors|https://illinoisstate.edu/academics/majors/interests/|https://illinoisstate.edu/academics/majors/colleges/,1,BS|bachelor|degrees|majors|minors|programs,1,0,,,16,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/illinois-state-university/majors,passed_ctrl_thresh,0,,,,,,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
151324,Indiana State University,African and African American Studies Program,indianastate.edu/,Terre Haute,Indiana,Public,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Residential,Doctorate,Classified,Not Classified,https://indianastate.edu/programs,score=530;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=7;ctrlStructured=15;canonicalHub=1;flags=,403_forbidden_seen,https://indianastate.edu/programs/|https://indianastate.edu/academics/academic-program-finder|https://indianastate.edu/academics/academic-program-finder/art-ba|https://indianastate.edu/academics/academic-program-finder/economics-bs|https://indianastate.edu/academics/academic-program-finder/art-education-all-grade-bs,1,BA|BS|bachelor|degrees|majors|minors|programs,1,4,African and African American Studies (BA)|African and African American Studies (Minor)|Career Possibilities for African and African American Studies Majors|Why Earn a Bachelor's Degree in African and African American Studies at Indiana State?,,16,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/indiana-state-university/majors,passed_ctrl_thresh,1,African-American/Black Studies,African,,Black,,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
213020,Indiana University of Pennsylvania-Main Campus,Pan‐African Studies Program,www.iup.edu/,Indiana,Pennsylvania,Public,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings",Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Highly residential,Doctorate,Not Classified,Not Classified,https://www.iup.edu/majors,score=452;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=3;canonicalHub=1;flags=,403_forbidden_seen,https://www.iup.edu/academics/index.html|https://www.iup.edu/registrar/files/academic_catalogs/2008-2009-undergraduate-catalog.pdf|https://www.iup.edu/registrar/files/academic_catalogs/2010-2011-undergraduate-catalog.pdf|https://www.iup.edu/catalog|https://www.iup.edu/registrar/catalog/index.html,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,3,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/indiana-university-of-pennsylvania-main-campus/majors,passed_ctrl_thresh,0,,African|Pan-African,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
151351,Indiana University-Bloomington,African American and African Diasporan Studies Department,bloomington.iu.edu/,Bloomington,Indiana,Public,Professions-focused Undergraduate/Graduate-Doctorate Large,"Lower Access, Higher Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Very Large,Primarily residential,Doctorate,Classified,Not Classified,https://bloomington.iu.edu/academics/schools.html,score=100;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=5;canonicalHub=0;flags=,exceptions_seen,https://bloomington.iu.edu/academics/online.html|https://bloomington.iu.edu/academics/academic-experience.html|https://bloomington.iu.edu/academics/abroad.html|https://bloomington.iu.edu/about/leadership/chancellor-reingold.html|https://bloomington.iu.edu/about/ranking-statistics.html,1,BA|bachelor|degrees|majors|minors|programs,1,0,,,5,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/indiana-university-bloomington/majors,passed_ctrl_thresh,2,"African-American/Black Studies|Ethnic, Cultural Minority, and Gender Studies, Other",African,,Black,,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
151388,Indiana University-East,American Ethnic & Minority Studies Program,east.iu.edu/,Richmond,Indiana,Public,Mixed Baccalaureate,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Mixed,Professions-focused,Medium,Online and on-campus learning,Master's,Not Classified,Not Classified,https://east.iu.edu/catalog,score=170;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://east.iu.edu/catalog/|https://east.iu.edu/academics/minors/index.html|https://east.iu.edu/academics/minors/undergraduate-minor-womens-and-gender-studies.html|https://east.iu.edu/academics/minors/undergraduate-minor-neuroscience.html|https://east.iu.edu/academics/study-abroad/index.html,1,degrees|majors|minors|programs,1,5,"ENG-L 369 Studies in American & British Authors (TOPIC: Early Black American Writing) (3 cr)|ENG-L 370 Black American Writing|ENG-L 374 Ethnic American Literature (3 cr)|HIST-B 306 Modern European Race, Gender, and Identity (3 cr)|POLS-Y 206 Politics of American Ethnic Minorities",,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/indiana-university-east/majors,cv_unresolved,0,,,Ethnic,Black,Race,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1
151360,Indiana University-Northwest,Minority Studies Department,northwest.iu.edu/,Gary,Indiana,Public,Professions-focused Baccalaureate Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Professions-focused,Medium,"Mostly full-time, not residential",Master's,Not Classified,Not Classified,https://northwest.iu.edu/hist-phil-rel-pols/programs/political-science.html,score=232;tier=inventory;hubSig=2;listingLinks=14;slugDiv=4;structHits=5;ctrlStructured=3;canonicalHub=0;flags=tooSpecific,403_forbidden_seen,https://northwest.iu.edu/hist-phil-rel-pols/programs/philosophy-religion.html|https://northwest.iu.edu/dental/programs/classes-dhyg.html|https://northwest.iu.edu/dental/programs/application.html|https://northwest.iu.edu/geosciences/degrees/interdepartmental-major-in-environmental-science-bs.html|https://northwest.iu.edu/hist-phil-rel-pols/programs/history.html,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,7,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/indiana-university-northwest/majors,cv_unresolved,0,,,,,,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0
151111,Indiana University-Purdue University-Indianapolis,Africana Studies Program,indianapolis.iu.edu/,Indianapolis,Indiana,Public,Professions-focused Undergraduate/Graduate-Doctorate Large,"Higher Access, Medium Earnings",Research 1: Very High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Large,Residential,Doctorate,Classified,Not Classified,https://indianapolis.iu.edu/majors,score=473;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=2;canonicalHub=1;flags=,exceptions_seen,https://indianapolis.iu.edu/academics/degrees-majors/interest/|https://indianapolis.iu.edu/academics/degree-requirements/general-education/|https://indianapolis.iu.edu/student-support/academic-support/|https://indianapolis.iu.edu/academics/degree-requirements/|https://indianapolis.iu.edu/academics/online.html,1,bachelor|degrees|majors|programs,1,0,,,7,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/indiana-university-purdue-university-indianapolis/majors,passed_ctrl_thresh,0,,,,,,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0
