unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience,nces_profile_xlsx_downloaded,nces_profile_xlsx_filename,nces_profile_xlsx_dir,nces_profile_xlsx_parse_ok,nces_profile_xlsx_error,tuition_fees_ug_2024_25,tuition_fees_grad_2024_25,enrollment_total,enrollment_men,enrollment_women,pct_American Indian or Alaska Native,pct_Asian,pct_Black or African American,pct_Hispanic,pct_Native Hawaiian or Other Pacific Islander,pct_White,pct_Two or more races,pct_Race/ethnicity unknown,pct_U.S. Nonresident
198118,Caldwell Community College and Technical Institute,cccti.edu/,Hudson,North Carolina,Public,Mixed Associate Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://cccti.edu/programs/,score=420;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://cccti.edu/academics/programs|https://cccti.edu/programs|https://cccti.edu/academics/programs/|https://cccti.edu/programs/all-programs/|https://cccti.edu/programs/apprenticeship,1,degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/caldwell-community-college-and-technical-institute/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/198118/1772749878648,1,,,,3914,1534,2380,1.5,1.8,4.4,11.9,0.1,73.3,3.2,3.4,0.5
183910,Caldwell University,www.caldwell.edu/,Caldwell,New Jersey,Private not-for-profit,Professions-focused Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Small,Primarily residential,Master's,Not Classified,Not Classified,https://www.caldwell.edu/all-programs/,score=646;tier=other;hubSig=6;listingLinks=96;slugDiv=83;structHits=6;ctrlStructured=9;canonicalHub=0;flags=,exceptions_seen,https://www.caldwell.edu/academics/majors|https://www.caldwell.edu/academics/majors/|https://www.caldwell.edu/majors/|https://www.caldwell.edu/majors|https://www.caldwell.edu/programs/bachelor-of-science-in-business-and-literary-studies/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,11,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/caldwell-university/majors,failed_ctrl_thresh,0,,Africa|African,ethnic,black,race,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/183910/1772749882197,1,,40848,17646,2005,741,1264,0.0,3.8,15.3,25.8,0.0,28.2,0.8,7.6,18.4
433420,California Aeronautical University,www.calaero.edu/,Bakersfield,California,Private for-profit,Professions-focused Baccalaureate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Professions-focused,Very Small,Primarily residential,Bachelor's,Not Classified,Not Classified,https://www.calaero.edu/programs/,score=440;tier=inventory;hubSig=0;listingLinks=2;slugDiv=2;structHits=4;ctrlStructured=0;canonicalHub=1;flags=,429_rate_limited_seen,https://www.calaero.edu/programs|https://www.calaero.edu/academics/catalog/2526|https://www.calaero.edu/course-catalog|https://www.calaero.edu/course-catalog/|https://www.calaero.edu/,1,BS|bachelor|degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/california-aeronautical-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/433420/1772749885627,1,,37667,8520,350,302,48,0.3,10.3,6.0,39.4,0.9,36.9,5.7,0.6,0.0
110361,California Baptist University,www.calbaptist.edu/,Riverside,California,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Primarily residential,Doctorate,Not Classified,Not Classified,https://www.calbaptist.edu/majors/,score=420;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=2;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.calbaptist.edu/academics/programs/|https://www.calbaptist.edu/academics/programs|https://www.calbaptist.edu/majors|https://www.calbaptist.edu/programs/|https://www.calbaptist.edu/programs,0,bachelor|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/california-baptist-university/majors,cv_unresolved,0,,,,Blackboard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/110361/1772749889069,1,,41228,15562,11902,4128,7774,0.4,6.5,8.3,43.7,0.5,27.8,5.1,5.0,2.8
447713,California Career College,www.californiacareercollege.edu/,Canoga Park,California,Private for-profit,Special Focus: Nursing,Not Classified,"Not classified, not in classification universe",Associate,Special Focus: Nursing,N/A,Very Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.californiacareercollege.edu/course-catalog/2526,score=220;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.californiacareercollege.edu/course-catalog|https://www.californiacareercollege.edu/course-catalog/|https://www.californiacareercollege.edu/|https://www.californiacareercollege.edu/,0,degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/california-career-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/447713/1772749892474,1,,,,190,52,138,0.0,31.1,5.8,30.0,0.0,31.6,1.1,0.5,0.0
110370,California College of the Arts,www.cca.edu/,San Francisco,California,Private not-for-profit,"Special Focus: Arts, Music, and Design","Lower Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,"Special Focus: Arts, Music, and Design",Mixed,Small,Highly residential,Master's,Not Classified,Not Classified,https://www.cca.edu/academics/minors/,score=119;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=1;canonicalHub=0;flags=,exceptions_seen,https://www.cca.edu/academics/critical-studies/|https://www.cca.edu/academics/core-curriculum/|https://www.cca.edu/architecture/barch/|https://www.cca.edu/academics/pre-college/|https://www.cca.edu/academics/young-artist-studio-program/,1,BA|bachelor|degrees|majors|minors|programs,1,8,"Are you eligible to waive Critical Ethnic Studies requirements?|CONJURE! African Sacred Art|Critical Ethnic Studies|Thinking Race, Writing Culture|View a statement from Critical Ethnic Studies in solidarity with Black Lives Matter|a statement from Critical Ethnic Studies in solidarity with Black Lives Matter|chair of Critical Ethnic Studies|minor in Critical Ethnic Studies",,6,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/california-college-of-the-arts/majors,failed_ctrl_thresh,0,,Africa|African,Ethnic|ethnic|ethnicity,Black|Blackness,Race|race|racial,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/110370/1772749895915,1,,60226,63430,1308,427,881,0.4,13.5,3.6,14.4,0.2,19.4,5.8,7.6,35.0
488572,California Health Sciences University,chsu.edu/,Clovis,California,Private for-profit,Special Focus: Medical Schools and Centers,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Medical Schools and Centers,Special Focus: Medical Schools and Centers,Very Small,Graduate-focused,Doctorate,Not Classified,Not Classified,https://chsu.edu/catalog/2526,score=210;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://catalog.chsu.edu/com-2025-2026-academic-calendar|https://chsu.edu/catalog/20252026|https://catalog.chsu.edu/2025-2026-university-holiday-calendar|https://catalog.chsu.edu/california-health-sciences-university-unlawful-discrimination-harassment-sexual-misconduct-and|https://catalog.chsu.edu/sites/default/files/2022-2023-academic-catalog-student-handbook.pdf,1,BA|BS|minors|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/california-health-sciences-university/majors,cv_unresolved,0,,,ethnicity,,race,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/488572/1772749899372,1,,,31580,607,274,333,0.2,50.9,2.6,10.5,0.0,24.7,7.2,3.8,0.0
495271,California Indian Nations College,,Palm Desert,California,Public,Mixed Associate Small,Not Classified,"Not classified, not in classification universe",Associate,Mixed,N/A,Very Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,,,,,0,,0,0,,,0,,error_missing_web_address,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/495271/1772749902806,1,,7743,,154,21,133,34.4,0.0,2.6,45.5,0.0,1.9,12.3,1.9,1.3
487649,California Institute of Advanced Management,www.ciam.edu/,Alhambra,California,Private not-for-profit,Special Focus: Business,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Business,Special Focus: Business,Very Small,Graduate-focused,Master's,Not Classified,Not Classified,https://www.ciam.edu/catalog/2526,score=220;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.ciam.edu/catalog/20252026|https://www.ciam.edu/catalog/|https://www.ciam.edu/catalog|https://www.ciam.edu/|https://www.ciam.edu/,0,degrees|majors|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/california-institute-of-advanced-management/majors,cv_unresolved,0,,,,Black|blackamerica|blackhistorymonth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/487649/1772749905893,1,,,,344,142,202,0.0,0.0,0.9,0.0,0.0,0.6,0.0,0.3,98.3
490285,California Institute of Arts & Technology,www.ciat.edu/,San Diego,California,Private for-profit,Special Focus: Applied and Career Studies,Not Classified,"Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Small,Primarily online,Associate,Not Classified,Not Classified,https://www.ciat.edu/programs/,score=685;tier=inventory;hubSig=3;listingLinks=21;slugDiv=13;structHits=3;ctrlStructured=0;canonicalHub=1;flags=,exceptions_seen,https://www.ciat.edu/programs|https://www.ciat.edu/course-catalog/|https://www.ciat.edu/course-catalog|https://www.ciat.edu/|https://www.ciat.edu/programs/cybersecurity,0,bachelor|degrees|majors|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/california-institute-of-arts-and-technology/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-17-31.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/490285/1772749909316,1,,22270,,2112,1772,340,0.5,6.6,26.7,14.7,1.0,20.0,30.5,0.0,0.0
