unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience,nces_profile_xlsx_downloaded,nces_profile_xlsx_filename,nces_profile_xlsx_dir,nces_profile_xlsx_parse_ok,nces_profile_xlsx_error,tuition_fees_ug_2024_25,tuition_fees_grad_2024_25,enrollment_total,enrollment_men,enrollment_women,pct_American Indian or Alaska Native,pct_Asian,pct_Black or African American,pct_Hispanic,pct_Native Hawaiian or Other Pacific Islander,pct_White,pct_Two or more races,pct_Race/ethnicity unknown,pct_U.S. Nonresident
203845,Marietta College,marietta.edu/,Marietta,Ohio,Private not-for-profit,Mixed Baccalaureate,"Lower Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Mixed,Special Focus: Other Health Professions,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://marietta.edu/majors-minors/,score=488;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=12;canonicalHub=1;flags=,exceptions_seen,https://marietta.edu/majors-minors|https://marietta.edu/departments/mcdonough-leadership?page=1|https://marietta.edu/departments/history-philosophy-religion?page=1|https://marietta.edu/departments/biology?page=1|https://marietta.edu/departments/communication?page=1,1,degrees|majors|minors|programs,1,0,,,12,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/marietta-college/majors,passed_ctrl_thresh,0,,,,,,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,institution-profile-2026-03-06-9-56.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/203845/1772809003814,1,,39652,11300,1109,555,554,0.2,0.9,3.5,3.2,0.0,82.1,4.0,3.8,2.3
101648,Marion Military Institute,www.marionmilitary.edu/,Marion,Alabama,Public,Mixed Associate Small,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Very Small,Highly residential,Associate,Not Classified,Not Classified,https://www.marionmilitary.edu/catalog/20252026,score=228;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=2;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.marionmilitary.edu/catalog/2526|https://www.marionmilitary.edu/academics/catalog/2526|https://www.marionmilitary.edu/catalog|https://www.marionmilitary.edu/catalog/|https://www.marionmilitary.edu/,1,degrees|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/marion-military-institute/majors,cv_unresolved,0,,,,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-9-56.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/101648/1772809007375,1,,,,332,235,97,0.3,1.8,27.4,13.3,0.6,50.3,6.3,0.0,0.0
203881,Marion Technical College,www.mtc.edu/,Marion,Ohio,Public,Professions-focused Associate Small,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.mtc.edu/academic-programs/,score=452;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=3;canonicalHub=1;flags=,exceptions_seen,https://www.mtc.edu/academic-programs/arts-and-sciences/ogtp-pathways/index.html|https://www.mtc.edu/academic-programs/index.html|https://www.mtc.edu/academic-programs/education/index.html|https://www.mtc.edu/academic-programs/arts-and-sciences/index.html|https://www.mtc.edu/academic-programs/business-technology/index.html,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,6,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/aiken-technical-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,institution-profile-2026-03-06-9-56.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/203881/1772809010826,1,,,,3346,1410,1936,0.5,1.2,9.7,1.6,0.0,75.8,6.0,5.3,0.0
192819,Marist University,www.marist.edu/,Poughkeepsie,New York,Private not-for-profit,Mixed Undergraduate/Graduate-Master's Large/Medium,"Lower Access, Higher Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Professions-focused,Medium,Highly residential,Doctorate,Not Classified,Not Classified,https://www.marist.edu/academics/programs/,score=452;tier=inventory;hubSig=0;listingLinks=7;slugDiv=1;structHits=4;ctrlStructured=3;canonicalHub=1;flags=,exceptions_seen,https://www.marist.edu/academics/programs|https://www.marist.edu/programs|https://www.marist.edu/programs/|https://www.marist.edu/majors-minors/|https://www.marist.edu/majors-minors,1,degrees|majors|minors|programs,1,1,Africana Studies,,4,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/marist-university/majors,failed_ctrl_thresh,0,,Africana,,,,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,institution-profile-2026-03-06-9-56.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/192819/1772809014451,1,,47620,17200,6356,2628,3728,0.2,3.8,3.6,13.1,0.0,66.5,3.2,6.4,3.1
239105,Marquette University,www.marquette.edu/,Milwaukee,Wisconsin,Private not-for-profit,Mixed Undergraduate/Graduate-Doctorate Medium,"Lower Access, Higher Earnings",Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Mixed,Special Focus: Medical Schools and Centers,Medium,Highly residential,Doctorate,Classified,Not Classified,https://www.marquette.edu/academics/majors/,score=1055;tier=inventory;hubSig=6;listingLinks=81;slugDiv=79;structHits=5;ctrlStructured=15;canonicalHub=1;flags=,exceptions_seen,https://www.marquette.edu/academics/majors|https://www.marquette.edu/majors/|https://www.marquette.edu/majors|https://www.marquette.edu/programs/|https://www.marquette.edu/programs,1,bachelor|degrees|majors|minors|programs,1,5,Africana Studies|Africana Studies Major|Middle East and North Africa Studies|What can you do with a major in Africana studies from Marquette?|You might like Africana studies if you:,,15,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/marquette-university/majors,passed_ctrl_thresh,2,"African-American/Black Studies|Ethnic, Cultural Minority, and Gender Studies, Other",Africa|African|Africana,Ethnicity|ethnic,Black,race,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,institution-profile-2026-03-06-9-56.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/239105/1772809017904,1,,,,11746,4954,6792,0.1,6.4,5.7,13.4,0.1,64.8,3.3,2.8,3.4
198899,Mars Hill University,www.mhu.edu/,Mars Hill,North Carolina,Private not-for-profit,Professions-focused Baccalaureate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Special Focus: Business,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.mhu.edu/academics/majors,score=486;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=9;canonicalHub=1;flags=,exceptions_seen,https://www.mhu.edu/academics/majors/|https://www.mhu.edu/academics/programs/|https://www.mhu.edu/academics/programs|https://www.mhu.edu/academics/majors-and-minors/nursing/traditional-pre-licensure-bsn-program/|https://www.mhu.edu/academics/majors-and-minors/business-management-ags/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,1,African American Studies,,9,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/mars-hill-university/majors,cv_unresolved,0,,African|african,ethnicity,Black,race|racial,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,institution-profile-2026-03-06-9-57.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/198899/1772809021324,1,,37736,14364,1110,554,556,1.3,1.0,15.3,9.2,0.4,64.2,0.2,3.1,5.4
123943,Marshall B Ketchum University,www.ketchum.edu/,Fullerton,California,Private not-for-profit,Special Focus: Other Health Professions,Not Classified,"Not classified, not in classification universe",Graduate-focused,Special Focus: Other Health Professions,Special Focus: Other Health Professions,Small,Graduate-focused,Doctorate,Not Classified,Not Classified,https://www.ketchum.edu/course-catalog/mbku-course-catalog?school=pharmacy,score=210;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.ketchum.edu/course-catalog|https://www.ketchum.edu/course-catalog/|https://www.ketchum.edu/course-catalog/mbku-course-catalog/academic-calendar|https://www.ketchum.edu/sites/default/files/inline-files/MBKUCourseCatalog.pdf|https://www.ketchum.edu/admissions-programs/pharmacy/faqs-pharmacy,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/marshall-b-ketchum-university/majors,cv_unresolved,0,,,,Black,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-9-57.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/123943/1772809024754,1,,,48709,653,173,480,0.2,54.1,3.1,9.6,0.0,21.0,6.7,2.8,2.6
237525,Marshall University,www.marshall.edu/,Huntington,West Virginia,Public,Professions-focused Undergraduate/Graduate-Doctorate Medium,"Higher Access, Medium Earnings",Research 2: High Research Spending and Doctorate Production,Undergraduate/Graduate-Doctorate,Professions-focused,Professions-focused,Medium,Primarily residential,Doctorate,Not Classified,Not Classified,https://www.marshall.edu/majors,score=459;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.marshall.edu/majors/|https://www.marshall.edu/academics/programs/|https://www.marshall.edu/academics/programs|https://www.marshall.edu/catalog/|https://www.marshall.edu/online/,1,BA|BS|bachelor|degrees|minors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/marshall-university/majors,cv_unresolved,0,,,,Blackboard,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-9-57.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/237525/1772809028179,1,,,,11958,4861,7097,0.3,1.4,4.8,2.6,0.1,74.6,3.8,10.6,1.7
153922,Marshalltown Community College,mcc.iavalley.edu/,Marshalltown,Iowa,Public,Mixed Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,Residential,Associate,Not Classified,Not Classified,https://mcc.iavalley.edu/online-degrees/,score=86;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=4;canonicalHub=0;flags=,exceptions_seen,https://mcc.iavalley.edu/|https://mcc.iavalley.edu/news_category/announcements/|https://mcc.iavalley.edu/news-and-media/|https://mcc.iavalley.edu/news_category/art-exhibit/|https://mcc.iavalley.edu/news_category/student-activities/,1,degrees|majors|programs,1,0,,,4,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/marshalltown-community-college/majors,cv_unresolved,0,,,,,race,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,institution-profile-2026-03-06-9-57.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/153922/1772809031634,1,,,,1857,778,1079,1.5,3.4,3.2,25.6,0.2,57.4,2.2,2.5,4.1
198905,Martin Community College,www.martincc.edu/,Williamston,North Carolina,Public,Mixed Associate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,Online and on-campus learning,Associate,Not Classified,Not Classified,https://www.martincc.edu/programs,score=434;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=3;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.martincc.edu/programs/|https://www.martincc.edu/programs?q=programviewer&degree=119|https://www.martincc.edu/programs?q=programviewer&degree=120|https://www.martincc.edu/programs?q=programviewer&degree=122|https://www.martincc.edu/programs?q=programviewer&degree=121,1,degrees|majors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/martin-community-college/majors,cv_unresolved,0,,,,,race,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,institution-profile-2026-03-06-9-57.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/198905/1772809035061,1,,,,891,345,546,0.2,1.5,42.3,3.4,0.0,51.2,0.1,1.2,0.1
