unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience,nces_profile_xlsx_downloaded,nces_profile_xlsx_filename,nces_profile_xlsx_dir,nces_profile_xlsx_parse_ok,nces_profile_xlsx_error,tuition_fees_ug_2024_25,tuition_fees_grad_2024_25,enrollment_total,enrollment_men,enrollment_women,pct_American Indian or Alaska Native,pct_Asian,pct_Black or African American,pct_Hispanic,pct_Native Hawaiian or Other Pacific Islander,pct_White,pct_Two or more races,pct_Race/ethnicity unknown,pct_U.S. Nonresident
183150,Great Bay Community College,www.greatbay.edu/,Portsmouth,New Hampshire,Public,Professions-focused Associate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.greatbay.edu/programs/,score=440;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=5;canonicalHub=1;flags=,429_rate_limited_seen,https://www.greatbay.edu/academics/programs/|https://www.greatbay.edu/academics/programs|https://www.greatbay.edu/programs|https://www.greatbay.edu/college-catalog/2526|https://www.greatbay.edu/academics/college-catalog/,1,degrees|majors|programs,1,0,,,5,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/great-bay-community-college/majors,cv_unresolved,0,,,,,,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/183150/1772767280730,1,,,,1462,585,877,0.5,4.4,2.7,8.6,0.1,73.1,3.3,7.3,0.0
180249,Great Falls College Montana State University,www.gfcmsu.edu/,Great Falls,Montana,Public,Special Focus: Other Health Professions,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Special Focus: Other Health Professions,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.gfcmsu.edu/catalog/20252026,score=210;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=1;ctrlStructured=0;canonicalHub=0;flags=yearHit,429_rate_limited_seen,https://www.gfcmsu.edu/catalog/2526|https://www.gfcmsu.edu/|https://www.gfcmsu.edu/|https://catalog.gfcmsu.edu/,0,bachelor|degrees|majors|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/great-falls-college-montana-state-university/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/180249/1772767284246,1,,,,1502,460,1042,3.5,1.3,0.7,6.7,0.1,78.8,8.0,0.9,0.0
170091,Great Lakes Christian College,www.glcc.edu/,Lansing,Michigan,Private not-for-profit,Special Focus: Theological Studies,Not Classified,"Not classified, not in classification universe",Baccalaureate,Special Focus:  Theological Studies,N/A,Very Small,Residential,Bachelor's,Not Classified,Not Classified,https://www.glcc.edu/catalog/20252026,score=224;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.glcc.edu/catalog/2526|https://www.glcc.edu/academics/catalog/2526|https://www.glcc.edu/catalog/|https://www.glcc.edu/catalog|https://www.glcc.edu/,1,degrees|majors|programs,1,0,,,2,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/great-lakes-christian-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/170091/1772767287639,1,,19520,,210,126,84,0.5,1.9,29.5,3.8,0.0,54.8,6.7,1.4,1.4
213181,Great Lakes Institute of Technology,www.glit.edu/,Erie,Pennsylvania,Private for-profit,Special Focus: Applied and Career Studies,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Applied and Career Studies,N/A,Small,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.glit.edu/catalog/2526,score=220;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.glit.edu/catalog/20252026|https://www.glit.edu/catalog/|https://www.glit.edu/catalog|https://www.glit.edu/|https://www.glit.edu/,0,BA|BS|degrees|programs,1,0,,,0,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/great-lakes-institute-of-technology/majors,failed_ctrl_thresh,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/213181/1772767291188,1,,,,335,27,308,0.0,2.1,11.0,8.1,0.3,72.5,4.5,1.5,0.0
497213,Great Northern University,www.greatnorthernu.org/,Spokane,Washington,Private not-for-profit,Professions-focused Baccalaureate Small,Not Classified,"Not classified, not in classification universe",Baccalaureate,Professions-focused,N/A,Very Small,Residential,Bachelor's,Not Classified,Not Classified,https://www.greatnorthernu.org/academics/bachelor-of-arts/,score=143;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=6;ctrlStructured=2;canonicalHub=0;flags=,exceptions_seen,https://www.greatnorthernu.org/academics/bachelor-of-arts/b-a-in-business-leadership/|https://www.greatnorthernu.org/about/who-we-are/our-people/|https://www.greatnorthernu.org/academics/bachelor-of-arts/b-a-in-psychology/|https://www.greatnorthernu.org/academics/bachelor-of-arts/b-a-in-communication/|https://www.greatnorthernu.org/academics/bachelor-of-arts/language-and-culture-studies/,1,BA|BS|bachelor|degrees|majors|minors|programs,1,0,,,6,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/great-northern-university/majors,cv_unresolved,0,,,,,,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/497213/1772767294643,1,,18300,,48,19,29,0.0,2.1,0.0,4.2,0.0,89.6,0.0,4.2,0.0
235343,Green River College,www.greenriver.edu/,Auburn,Washington,Public,Mixed Associate/Baccalaureate,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Mixed,N/A,Medium,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,https://www.greenriver.edu/programs,score=434;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=3;ctrlStructured=1;canonicalHub=1;flags=,exceptions_seen,https://www.greenriver.edu/international/programs/|https://www.greenriver.edu/international/programs/index.html|https://www.greenriver.edu/international/programs/presidents-leadership-learning-circle.html|https://www.greenriver.edu/international/programs/international-student-success.html|https://www.greenriver.edu/students/academics/class-schedules-catalog/index.html,1,bachelor|degrees|majors|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/american-river-college/majors,cv_unresolved,0,,,Ethnic,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/235343/1772767298111,1,,,,7967,3796,4171,0.5,14.1,7.1,14.3,0.4,25.9,8.1,19.0,10.7
165981,Greenfield Community College,www.gcc.mass.edu/,Greenfield,Massachusetts,Public,Mixed Associate Small,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Small,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.gcc.mass.edu/academics/programs/,score=869;tier=inventory;hubSig=5;listingLinks=80;slugDiv=40;structHits=2;ctrlStructured=6;canonicalHub=1;flags=,exceptions_seen,https://www.gcc.mass.edu/academics/programs|https://www.gcc.mass.edu/academics/areas-of-study/|https://www.gcc.mass.edu/programs/|https://www.gcc.mass.edu/academics/programs/liberal-arts/|https://www.gcc.mass.edu/academics/programs/business-administration-transfer/,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,9,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/greenfield-community-college/majors,cv_unresolved,0,,African,ethnic,,racial,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/165981/1772767301550,1,,,,1689,635,1054,0.4,3.0,5.8,14.0,0.0,69.2,3.7,4.0,0.0
198598,Greensboro College,www.greensboro.edu/,Greensboro,North Carolina,Private not-for-profit,Mixed Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Mixed,Professions-focused,Small,Highly residential,Master's,Not Classified,Not Classified,https://www.greensboro.edu/,score=-48;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=5;ctrlStructured=8;canonicalHub=0;flags=grad,429_rate_limited_seen,,1,bachelor|degrees|majors|minors|programs,1,0,,,8,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/greensboro-college/majors,cv_unresolved,0,,,,,,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/198598/1772767305054,1,,21000,4524,967,502,465,0.4,0.4,27.4,9.4,0.1,32.6,3.9,23.7,2.1
218113,Greenville Technical College,www.gvltec.edu/,Greenville,South Carolina,Public,Professions-focused Associate Large/Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,"Mostly part-time, not residential",Bachelor's,Not Classified,Not Classified,https://www.gvltec.edu/academics_learning/areas-of-study.html,score=292;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=3;canonicalHub=0;flags=,exceptions_seen,https://www.gvltec.edu/catalog/|https://www.gvltec.edu/catalog|https://www.gvltec.edu/academics_learning/academic_catalog/gtc-catalog-addendum2019.html|https://www.gvltec.edu/academics_learning/academic_catalog/index.html|https://www.gvltec.edu/academics_learning/academic_catalog/gtc-catalog-addendum2017.html,1,bachelor|degrees|majors|programs,1,0,,,3,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/aiken-technical-college/majors,cv_unresolved,0,,,,Blackboard,Race|race,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/218113/1772767308476,1,,,,11999,4864,7135,0.3,2.7,17.8,16.5,0.1,55.4,4.4,2.4,0.4
145372,Greenville University,www.greenville.edu/,Greenville,Illinois,Private not-for-profit,Professions-focused Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Small,Highly residential,Master's,Not Classified,Not Classified,https://www.greenville.edu/academics/programs/,score=739;tier=inventory;hubSig=3;listingLinks=26;slugDiv=11;structHits=6;ctrlStructured=6;canonicalHub=1;flags=,403_forbidden_seen,https://www.greenville.edu/programs/|https://www.greenville.edu/academics/programs|https://www.greenville.edu/programs|https://www.greenville.edu/academics/information-resources/academic-catalog|https://www.greenville.edu/academics/undergraduate-programs,1,BA|BS|degrees|majors|minors|programs,1,0,,,6,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/greenville-university/majors,cv_unresolved,0,,,,,,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/145372/1772767311962,1,,32200,8784,1104,559,545,0.0,0.9,13.0,7.5,0.1,61.7,4.3,1.4,11.1
153384,Grinnell College,www.grinnell.edu/,Grinnell,Iowa,Private not-for-profit,Special Focus: Arts and Sciences,"Lower Access, Higher Earnings",Research Colleges and Universities,Baccalaureate,Special Focus: Arts and Sciences,N/A,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.grinnell.edu/academics/majors,score=484;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=16;canonicalHub=1;flags=,exceptions_seen,https://www.grinnell.edu/academics/majors/|https://www.grinnell.edu/academics/majors-concentrations|https://www.grinnell.edu/academics/majors-concentrations/general-science|https://www.grinnell.edu/academics/majors-concentrations/religious-studies|https://www.grinnell.edu/academics/majors-concentrations/linguistics,1,degrees|majors|programs,1,6,"African Diaspora Studies|African Diaspora Studies Faculty|Grinnell Celebrates the Launch of New Department of African Diaspora Studies|Grinnell College Appoints John Thabiti Willis, Ph.D., as Inaugural Kesho Scott Endowed Chair in African Diaspora Studies|Studies in Africa, Middle East, and South Asia|Studies in Africa, Middle East, and South Asia Concentration and Requirements Faculty",,16,sufficient majors,ok,,1,https://www.collegevine.com/schools/hub/all/d/grinnell-college/majors,passed_ctrl_thresh,1,"Ethnic, Cultural Minority, and Gender Studies, Other",Africa|African,ethnicity,Black|Blackness,race,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/153384/1772767315402,1,,68196,,1788,819,969,0.1,9.5,4.8,8.5,0.1,48.0,6.5,2.2,20.5
115296,Grossmont College,www.grossmont.edu/,El Cajon,California,Public,Mixed Associate Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Mixed,N/A,Medium,"Mostly part-time, not residential",Associate,Not Classified,Not Classified,https://www.grossmont.edu/academics/programs/,score=652;tier=inventory;hubSig=2;listingLinks=12;slugDiv=7;structHits=3;ctrlStructured=13;canonicalHub=1;flags=,exceptions_seen,https://www.grossmont.edu/academics/programs|https://www.grossmont.edu/academics/programs/index.php|https://www.grossmont.edu/academics/catalog/index.php|https://www.grossmont.edu/academics/pathways/index.php|https://www.grossmont.edu/academics/programs/english-and-social-behavioral-sciences.php,1,degrees|majors|programs,1,4,Ethnic|Ethnic Gender & Social Justice Studies|Ethnic Studies|Ethnic/Gender Studies,,14,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/grossmont-college/majors,cv_unresolved,0,,,Ethnic|ethnicity,,race,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,institution-profile-2026-03-05-22-21.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/115296/1772767318906,1,,,,14440,6016,8424,0.2,8.2,4.8,37.6,0.3,38.2,4.9,4.3,1.4
212805,Grove City College,www.gcc.edu/,Grove City,Pennsylvania,Private not-for-profit,Mixed Baccalaureate,Not Classified,"Not classified, not in classification universe",Baccalaureate,Mixed,Special Focus: Business,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.gcc.edu/majors,score=498;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=5;ctrlStructured=12;canonicalHub=1;flags=,exceptions_seen,https://www.gcc.edu/majors/|https://www.gcc.edu/academics/programs|https://www.gcc.edu/academics/majors-minors/|https://www.gcc.edu/academics/majors/|https://www.gcc.edu/academics/programs/,1,BA|BS|degrees|majors|minors|programs,1,0,,,12,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/grove-city-college/majors,cv_unresolved,0,,,,,,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,institution-profile-2026-03-05-22-22.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/212805/1772767322356,1,,21700,8550,2383,1255,1128,0.1,2.1,0.5,0.7,0.0,88.9,5.5,1.0,1.1
