unitid,name,Web_address,city,state,control,Institutional Classification,Student Access and Earnings Classification,Research Activity Designation,Award Level Focus,Academic Mix,Graduate Academic Program Mix,Size,Campus Setting,Highest Degree Awarded,Community Engagement,Leadership for Public Purpose,best_guess_inventory_url,best_guess_inventory_reason,url_tag,alt_candidate_urls,any_control_found,struct_hits_union,>0_struct_hits_found,program_title_count,program_titles_found,pdf_hits,total_controls_found,controls_sufficiency,status,error_detail,college_vine_site,college_vine_url,college_vine_ctrl_status,college_vine_program_title_count,college_vine_program_titles_found,afri_matches,ethnic_matches,black_matches,race_matches,anthropology,math,linguistics,chem,architect,economics,psychology,sociology,history,english,political_science,philosophy,computer_science,engineering,physics,geology,statistics,neuroscience,nces_profile_xlsx_downloaded,nces_profile_xlsx_filename,nces_profile_xlsx_dir,nces_profile_xlsx_parse_ok,nces_profile_xlsx_error,tuition_fees_ug_2024_25,tuition_fees_grad_2024_25,enrollment_total,enrollment_men,enrollment_women,pct_American Indian or Alaska Native,pct_Asian,pct_Black or African American,pct_Hispanic,pct_Native Hawaiian or Other Pacific Islander,pct_White,pct_Two or more races,pct_Race/ethnicity unknown,pct_U.S. Nonresident
225548,Howard Payne University,www.hputx.edu/,Brownwood,Texas,Private not-for-profit,Professions-focused Baccalaureate Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Special Focus: Business,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.hputx.edu/academics/majors/,score=622;tier=inventory;hubSig=2;listingLinks=18;slugDiv=5;structHits=4;ctrlStructured=3;canonicalHub=1;flags=,exceptions_seen,https://www.hputx.edu/majors-minors/|https://www.hputx.edu/academics/majors-minors|https://www.hputx.edu/majors-minors|https://www.hputx.edu/academics/majors-minors/|https://www.hputx.edu/academics/majors,1,degrees|majors|minors|programs,1,0,,,3,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/howard-payne-university/majors,passed_ctrl_thresh,0,,,,,race,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-5-07.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/225548/1772791621272,1,,34982,11492,809,427,382,0.4,0.5,9.8,28.4,0.1,50.8,4.8,4.9,0.2
184995,Hudson County Community College,www.hccc.edu/,Jersey City,New Jersey,Public,Professions-focused Associate Large/Medium,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.hccc.edu/programs-courses/explore-all-programs.html,score=316;tier=inventory;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=9;canonicalHub=0;flags=,5xx_seen,https://www.hccc.edu/programs-courses/academic-pathways/social-science/criminal-justice-as.html|https://www.hccc.edu/programs-courses/academic-pathways/social-science/criminal-justice-homeland.html|https://www.hccc.edu/programs-courses/academic-pathways/social-science/criminal-justice-online.html|https://www.hccc.edu/programs-courses/academic-pathways/nursing-health/public-health-online.html|https://www.hccc.edu/programs-courses/academic-pathways/social-science/ece-aa-online.html,1,BA|BS|bachelor|degrees|majors|programs,1,0,,,10,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/allen-county-community-college/majors,cv_unresolved,0,,,Ethnic,,Race,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,institution-profile-2026-03-06-5-07.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/184995/1772791624851,1,,,,7763,3052,4711,0.2,7.7,13.0,53.4,0.1,9.2,1.8,12.2,2.2
191719,Hudson Valley Community College,www.hvcc.edu/,Troy,New York,Public,Professions-focused Associate Large/Medium,"Higher Access, Medium Earnings","Not classified, not in classification universe",Associate,Professions-focused,N/A,Medium,"Mostly full-time, not residential",Associate,Not Classified,Not Classified,https://www.hvcc.edu/programs/,score=875;tier=inventory;hubSig=5;listingLinks=29;slugDiv=24;structHits=3;ctrlStructured=5;canonicalHub=1;flags=,exceptions_seen,https://www.hvcc.edu/programs|https://www.hvcc.edu/programs/all/subjects/transfer-programs.html|https://www.hvcc.edu/programs/microcredentials/index.html|https://www.hvcc.edu/programs/bachelors/index.html|https://www.hvcc.edu/programs/index.html,1,bachelor|degrees|programs,1,0,,,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/hudson-valley-community-college/majors,cv_unresolved,0,,,,,,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,institution-profile-2026-03-06-5-07.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/191719/1772791628411,1,,,,9227,4428,4799,0.4,8.1,12.1,13.2,0.2,60.5,4.1,0.4,1.0
242112,Huertas College,www.huertas.edu/,Caguas,Puerto Rico,Private for-profit,Special Focus: Applied and Career Studies,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Special Focus: Applied and Career Studies,N/A,Small,"Mostly full-time, not residential",Bachelor's,Not Classified,Not Classified,https://www.huertas.edu/hc/grado-asociado-terapia-fisica/,score=60;tier=other;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=0;canonicalHub=0;flags=,exceptions_seen,https://www.huertas.edu/hc/wp-content/uploads/2024/08/SC-BACHILLERATO-CONTABILIDAD-CON-AUDITORIA.pdf|https://www.huertas.edu/hc/tecnologia-en-el-manejo-de-la-informacion-de-la-salud/|https://www.huertas.edu/hc/blog|https://www.huertas.edu/hc/grado-asociado-asistente-dental/|https://www.huertas.edu/hc/contacto/,1,BA|BS|degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/huertas-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,,,,,,,,,,,,,
164368,Hult International Business School,www.hult.edu/,Cambridge,Massachusetts,Private not-for-profit,Special Focus: Business,Not Classified,"Not classified, not in classification universe",Undergraduate/Graduate-Master's,Special Focus: Business,Special Focus: Business,Small,Highly residential,Master's,Not Classified,Not Classified,https://www.hult.edu/majors-minors/,score=497;tier=inventory;hubSig=0;listingLinks=1;slugDiv=1;structHits=5;ctrlStructured=3;canonicalHub=1;flags=,exceptions_seen,https://www.hult.edu/majors-minors|https://www.hult.edu/programs|https://www.hult.edu/programs/|https://www.hult.edu/ashridge/apprenticeship-levy/declaration/|https://www.hult.edu/coaching/,1,bachelor|degrees|majors|minors|programs,1,0,,,4,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/hult-international-business-school/majors,cv_unresolved,0,,,,Black,,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,
242121,Humacao Community College,www.hccpr.edu/,Humacao,Puerto Rico,Private not-for-profit,Special Focus: Other Health Professions,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Associate/Baccalaureate,Special Focus: Other Health Professions,N/A,Very Small,"Mostly full-time, not residential",Bachelor's,Not Classified,Not Classified,https://www.hccpr.edu/catalog/2526,score=200;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=0;ctrlStructured=0;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.hccpr.edu/catalog/20252026|https://www.hccpr.edu/catalog|https://www.hccpr.edu/catalog/|https://www.hccpr.edu/|https://www.hccpr.edu/,0,,0,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/humacao-community-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-5-45.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/242121/1772793903570,1,,6117,,173,72,101,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
115773,Humphreys University-Stockton and Modesto Campuses,www.humphreys.edu/,Stockton,California,Private not-for-profit,Professions-focused Undergraduate/Graduate-Master's Small,"Higher Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Master's,Professions-focused,Professions-focused,Small,Primarily online,Master's,Not Classified,Not Classified,https://www.humphreys.edu/,score=80;tier=homepage;hubSig=0;listingLinks=0;slugDiv=0;structHits=4;ctrlStructured=0;canonicalHub=0;flags=,429_rate_limited_seen,,0,bachelor|degrees|majors|programs,1,0,,,0,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/humphreys-university-stockton-and-modesto-campuses/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-5-45.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/115773/1772793907141,1,,13500,11286,699,224,475,0.3,7.7,7.0,23.3,0.4,15.3,2.4,2.3,41.2
101435,Huntingdon College,www.huntingdon.edu/,Montgomery,Alabama,Private not-for-profit,Professions-focused Baccalaureate Small,"Opportunity Colleges and Universities-Higher Access, Higher Earnings","Not classified, not in classification universe",Baccalaureate,Professions-focused,Special Focus: Other Health Professions,Small,Highly residential,Bachelor's,Not Classified,Not Classified,https://www.huntingdon.edu/academics/programs/,score=806;tier=inventory;hubSig=4;listingLinks=23;slugDiv=13;structHits=3;ctrlStructured=9;canonicalHub=1;flags=,exceptions_seen,https://www.huntingdon.edu/programs/|https://www.huntingdon.edu/programs|https://www.huntingdon.edu/academics/programs|https://www.huntingdon.edu/academics/academic-programs/|https://www.huntingdon.edu/academics/academic-programs/rotc/,1,bachelor|degrees|majors|minors|programs,1,1,African American Studies,,9,warning_10_MajorsFound,ok,,1,https://www.collegevine.com/schools/hub/all/d/huntingdon-college/majors,failed_ctrl_thresh,0,,African,,,,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,,,0,,,,,,,,,,,,,,,
237437,Huntington Junior College,www.hjc.edu/,Huntington,West Virginia,Private not-for-profit,Special Focus: Other Health Professions,"Higher Access, Lower Earnings","Not classified, not in classification universe",Associate,Special Focus: Other Health Professions,N/A,Very Small,Online and on-campus learning,Associate,Not Classified,Not Classified,https://www.hjc.edu/catalog,score=224;tier=catalog;hubSig=0;listingLinks=0;slugDiv=0;structHits=2;ctrlStructured=1;canonicalHub=0;flags=yearHit,exceptions_seen,https://www.hjc.edu/catalog/|https://www.hjc.edu/|https://www.hjc.edu/|https://catalog.hjc.edu/|https://www.hjc.edu/events/month,1,degrees|programs,1,0,,,1,warning_10_MajorsFound,ok,,0,https://www.collegevine.com/schools/hub/all/d/huntington-junior-college/majors,cv_unresolved,0,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,institution-profile-2026-03-06-6-01.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/237437/1772794859759,1,,10050,,182,60,122,0.0,0.0,13.2,2.7,1.6,79.1,2.7,0.5,0.0
150941,Huntington University,www.huntington.edu/,Huntington,Indiana,Private not-for-profit,Professions-focused Undergraduate/Graduate-Doctorate Small,"Lower Access, Medium Earnings","Not classified, not in classification universe",Undergraduate/Graduate-Doctorate,Professions-focused,Special Focus: Other Health Professions,Small,Highly residential,Doctorate,Not Classified,Not Classified,https://www.huntington.edu/majors,score=944;tier=inventory;hubSig=5;listingLinks=93;slugDiv=70;structHits=4;ctrlStructured=11;canonicalHub=1;flags=,exceptions_seen,https://www.huntington.edu/academics/undergraduate|https://www.huntington.edu/academics/programs/|https://www.huntington.edu/academics/programs|https://www.huntington.edu/academics/undergraduate/departments|https://www.huntington.edu/online/programs,1,degrees|majors|minors|programs,1,0,,,11,sufficient majors,ok,,0,https://www.collegevine.com/schools/hub/all/d/huntington-university/majors,cv_unresolved,0,,,,,,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,institution-profile-2026-03-06-6-01.xlsx,/var/folders/0_/vt5npj3x5wq9q_4bzlj28tqw0000gn/T/nces_ipeds_profile_downloads/150941/1772794863197,1,,31870,10742,1776,734,1042,0.2,1.6,4.4,7.9,0.1,75.3,5.8,1.6,3.1
