unitid,source,bucket,canonical_title,supporting_raw_titles,program_conf_max,program_conf_reasons
147767,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
147776,crawl,black,African and African American Studies,"African and African American Studies|African and African American Studies, Minor",100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
148487,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
148627,crawl,black,African American Studies,African American Studies Minor,70,strong_token|bucket_match:black
148627,crawl,black,African-American Studies,African-American Studies,70,bare_studies_name|bucket_match:black
148627,crawl,black,African-American Studies Undergraduate,African-American Studies Undergraduate Minor,70,strong_token|bucket_match:black
149222,crawl,africana,Africana Studies,Africana Studies|Africana Studies Minor|Bachelor of Arts in Africana Studies,100,bare_studies_name|anchor_phrase|bucket_match:africana|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
149222,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
149231,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
149231,crawl,black,Black Studies,Black Studies,90,bare_studies_name|anchor_phrase|bucket_match:black
150400,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
150400,crawl,africana,Africana Studies Major,Africana Studies Major Minor,90,strong_token|anchor_phrase|bucket_match:africana
150400,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
150455,crawl,black,African and African American Studies,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
150455,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
151324,crawl,black,African and African American Studies,African and African American Studies (BA)|African and African American Studies (Minor)|Career Possibilities for African and African American Studies Majors,100,anchor_phrase|compound_anchor|bucket_match:black|degree_token|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
151324,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
151351,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
151351,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
152080,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
152080,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
152080,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
152673,crawl,black,Black Studies,Black Studies (minor),90,strong_token|anchor_phrase|bucket_match:black
153144,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
153162,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
153603,crawl,black,African and African American Studies,African and African American Studies|African and African American Studies Minor,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
153658,crawl,black,African American Studies,"African American Studies|African American Studies, Minor",70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
153658,crawl,black,"African American Studies, Graduate Certificate","African American Studies, Graduate Certificate",70,strong_token|bucket_match:black
153658,crawl,black,"African American Studies, Graduate Certificate African American Studies, Graduate Certificate Graduate Certificates","African American Studies, Graduate Certificate African American Studies, Graduate Certificate Graduate Certificates",70,strong_token|bucket_match:black
153658,crawl,black,"African American Studies, Minor African American Studies, Minor Undergraduate Minors","African American Studies, Minor African American Studies, Minor Undergraduate Minors",70,strong_token|bucket_match:black
153658,crawl,black,Graduate Certificate in African American Studies,Graduate Certificate in African American Studies,100,strong_token|bare_studies_name|bucket_match:black
153658,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
153834,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
153834,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
155317,crawl,african,Graduate Certificate in African Studies,Graduate Certificate in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
155317,crawl,black,African and African-American Studies,African and African-American Studies|BA in African and African-American Studies|Master of Arts in African and African-American Studies,100,bare_studies_name|bucket_match:black|degree_phrase|bucket_match:black|degree_token|degree_phrase|bare_studies_name|bucket_match:black
155317,crawl,black,BGS in African and African-American Studies,BGS in African and African-American Studies,70,bare_studies_name|bucket_match:black
155317,crawl,black,Dual Degree: MA in Museum Studies and African and African-American Studies,Dual Degree: MA in Museum Studies and African and African-American Studies,100,strong_token|degree_token|degree_phrase|bucket_match:black
155317,crawl,black,Graduate Certificate in African-American Studies,Graduate Certificate in African-American Studies,100,strong_token|bare_studies_name|bucket_match:black
155317,crawl,black,Minor in African and African-American Studies,Minor in African and African-American Studies,100,strong_token|bare_studies_name|bucket_match:black
155317,crawl,ethnic,Undergraduate Certificate in Race and Ethnicity in the U.S.,Undergraduate Certificate in Race and Ethnicity in the U.S.,70,strong_token|bucket_match:ethnic
155317,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
155399,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
156295,crawl,black,African and African American Studies,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
156295,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
156620,crawl,black,African and African American Studies,"African and African American Studies|African and African American Studies, Minor|Minor in African and African American Studies",100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black|strong_token|anchor_phrase|compound_anchor|bucket_match:black
157085,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
157289,crawl,africana,Pan-African Studies,Pan-African Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
157289,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
157951,crawl,africana,Africana American Studies,"Africana American Studies, Minor",70,strong_token|bucket_match:africana
157951,crawl,africana,Africana Studies,Africana Studies|Africana Studies Program,90,bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
157951,crawl,black,African American Studies,African American Studies|African American Studies Minor,70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
157951,crawl,black,Degrees and Programs African American Studies,Degrees and Programs African American Studies Minor,70,strong_token|bucket_match:black
159391,crawl,black,African and African American Studies,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
160755,crawl,africana,Africana Studies,"Africana Studies Major|Africana Studies Minor|Africana Studies and Art History, MA|Joint Degree in Studio Art and Africana Studies, MFA/MA",100,degree_token|anchor_phrase|compound_anchor|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana|strong_token|degree_token|anchor_phrase|compound_anchor|bucket_match:africana
160755,crawl,africana,"Studio Art with a concentration in Africana Studies, MFA","Studio Art with a concentration in Africana Studies, MFA",90,strong_token|anchor_phrase|bucket_match:africana
160977,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
161004,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
161004,crawl,mena,Middle Eastern and North African Studies,Middle Eastern and North African Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:mena
161004,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
161004,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
162654,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
163268,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
163268,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
163286,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
164216,crawl,black,Black Studies,Black Studies|Black Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:black|strong_token|anchor_phrase|bucket_match:black
164465,crawl,african,African Studies Certificate,African Studies Certificate,90,strong_token|anchor_phrase|bucket_match:african
164465,crawl,black,Black Studies,Black Studies,90,bare_studies_name|anchor_phrase|bucket_match:black
164465,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
164924,crawl,african,African and African Diaspora Studies,African and African Diaspora Studies,70,bare_studies_name|bucket_match:african
164988,crawl,african,African Language,African Language Program,70,strong_token|bucket_match:african
164988,crawl,african,African Studies,African Studies|African Studies Minor in African Languages and Literatures Minor in African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|strong_token|anchor_phrase|compound_anchor|bucket_match:african
164988,crawl,african,Minor in African Languages and Literatures,Minor in African Languages and Literatures,70,strong_token|bucket_match:african
164988,crawl,african,Minor in African Studies,Minor in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
164988,crawl,black,African American and Black Diaspora Studies,African American and Black Diaspora Studies|BA in African American and Black Diaspora Studies,100,bare_studies_name|bucket_match:black|degree_token|degree_phrase|bucket_match:black
164988,crawl,black,African American and Black Diaspora Studies BA in African American and Black Diaspora Studies Minor in African American and Black Diaspora Studies,African American and Black Diaspora Studies BA in African American and Black Diaspora Studies Minor in African American and Black Diaspora Studies,100,strong_token|degree_token|degree_phrase|bucket_match:black
164988,crawl,black,Minor in African American and Black Diaspora Studies,Minor in African American and Black Diaspora Studies,70,strong_token|bucket_match:black
164988,crawl,mena,Middle East and North Africa Studies,Middle East and North Africa Studies,70,bare_studies_name|bucket_match:mena
165015,crawl,black,African and African American Studies,African and African American Studies|African and African American Studies Undergraduate aaas,100,anchor_phrase|compound_anchor|bucket_match:black|bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
165015,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
166027,crawl,black,African and African American Studies,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
166027,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
166027,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
166638,crawl,africana,Africana Studies,Africana Studies|Africana Studies Major|Africana Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
166939,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
166939,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
166939,crawl,africana,Africana Studies Major Pathway/Minor,Africana Studies Major Pathway/Minor,90,strong_token|anchor_phrase|bucket_match:africana
166939,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
166939,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
167783,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
167783,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
167835,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
167835,crawl,african,Contact African Studies,Contact African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
167835,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
167835,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
167987,crawl,black,Black Studies,Black Studies Minor,90,strong_token|anchor_phrase|bucket_match:black
168148,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
168218,crawl,africana,Africana,Africana major and minor,70,strong_token|bucket_match:africana
168218,crawl,africana,Africana Studies,Afiya Mbilishaka ﻿ Assistant Professor of Africana Studies and Psychology|Africana Studies,90,anchor_phrase|compound_anchor|bucket_match:africana|bare_studies_name|anchor_phrase|bucket_match:africana
168218,crawl,ethnic,Comparative race and ethnicity,Comparative race and ethnicity minor,70,strong_token|bucket_match:ethnic
168218,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
168546,crawl,ethnic,Ethnic Studies,"Ethnic Studies Major and Minor|Ethnic Studies and Women's, Gender, and Sexuality Studies",100,anchor_phrase|compound_anchor|bucket_match:ethnic|strong_token|anchor_phrase|compound_anchor|bucket_match:ethnic
169080,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
169798,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
170082,crawl,africana,Africana Studies,Africana Studies Minor,90,strong_token|anchor_phrase|bucket_match:africana
172644,crawl,black,African American Studies,African American Studies|African American Studies African American Studies|BA in African American Studies|Bachelor of Arts in African American Studies,100,bare_studies_name|bucket_match:black|degree_phrase|bucket_match:black|degree_token|degree_phrase|bare_studies_name|bucket_match:black
172644,crawl,black,African American studies bachelor's degree career outlook,African American studies bachelor's degree career outlook,70,strong_token|bucket_match:black
172644,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
172644,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
172699,crawl,black,African American and African Studies,African American and African Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
172699,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
173258,crawl,africana,Africana Studies,Africana Studies|Africana Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
173258,crawl,africana,Africana Studies major,Africana Studies major minor,90,strong_token|anchor_phrase|bucket_match:africana
173258,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
173902,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
173920,crawl,ethnic,Ethnic Studies,Ethnic Studies|Ethnic Studies Program,90,bare_studies_name|anchor_phrase|bucket_match:ethnic|strong_token|anchor_phrase|bucket_match:ethnic
174020,crawl,ethnic,Ethnic Studies,Ethnic Studies|Ethnic Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:ethnic|strong_token|anchor_phrase|bucket_match:ethnic
174020,crawl,ethnic,"Ethnic, Gender, Historical, and Philosophical Studies","Ethnic, Gender, Historical, and Philosophical Studies",70,bare_studies_name|bucket_match:ethnic
174066,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
174844,crawl,race,RACE Major and Concentration,The RACE Major and Concentration,70,strong_token|bucket_match:race
174844,crawl,race,Race and Ethnic Studies,A house Race and Ethnic Studies|Race and Ethnic Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:race
174844,cv,ethnic,Ethnic Studies,Ethnic Studies,100,bare_studies_name|anchor_phrase|bucket_match:ethnic|cv_bonus
176017,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
178396,crawl,black,Black Studies,"Black Studies|Black Studies , Minor",90,bare_studies_name|anchor_phrase|bucket_match:black|strong_token|anchor_phrase|bucket_match:black
178402,crawl,ethnic,"Race, Ethnic, and Gender Studies","Race, Ethnic, and Gender Studies",70,bare_studies_name|bucket_match:ethnic
179159,crawl,black,African American Studies,"African American Studies, Minor",70,strong_token|bucket_match:black
179159,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
179867,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
180489,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
181002,crawl,african,African Studies,African Studies (Minor),90,strong_token|anchor_phrase|bucket_match:african
181002,crawl,african,African Studies (Minor),African Studies (Minor) Minor,90,strong_token|anchor_phrase|bucket_match:african
181002,crawl,black,African American and Black Diasporic Studies,African American and Black Diasporic Studies (Minor),70,strong_token|bucket_match:black
181002,crawl,black,African American and Black Diasporic Studies (Minor),African American and Black Diasporic Studies (Minor) Minor,70,strong_token|bucket_match:black
181215,crawl,ethnic,Ethnic Studies Minor Online On Campus,Ethnic Studies Minor Online On Campus,90,strong_token|anchor_phrase|bucket_match:ethnic
181394,crawl,black,Black Studies,Black Studies Minor|the Black Studies Minor,90,strong_token|anchor_phrase|bucket_match:black
181394,crawl,black,Black Studies Graduate,Black Studies Graduate Minor,90,strong_token|anchor_phrase|bucket_match:black
181394,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
181394,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
181464,crawl,black,African and African-American Studies,African and African-American Studies,70,bare_studies_name|bucket_match:black
181464,crawl,ethnic,Ethnic Studies,Ethnic Studies,90,bare_studies_name|anchor_phrase|bucket_match:ethnic
181464,cv,minority,"Ethnic, Cultural Minority, and Gender Studies, Other","Ethnic, Cultural Minority, and Gender Studies, Other",100,cv_taxonomy_target|bucket_match:minority|cv_bonus
182281,crawl,black,African American and African Diaspora Studies,African American and African Diaspora Studies,70,bare_studies_name|bucket_match:black
182281,crawl,black,Concentration in African American and African Diaspora Studies,Concentration in African American and African Diaspora Studies,70,strong_token|bucket_match:black
182281,crawl,black,Minor in African American and African Diaspora Studies,Minor in African American and African Diaspora Studies|Minor in African American and African Diaspora Studies Minor in African American and African Diaspora Studies,70,strong_token|bucket_match:black
182281,crawl,ethnic,Ethnic Studies,"Interdisciplinary, Gender, and Ethnic Studies",100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:ethnic
182281,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
182290,crawl,race,"Gender, Race and Identity","Bachelor of Arts in Gender, Race and Identity",70,degree_phrase|bucket_match:race
182670,crawl,black,African and African American Studies,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
182670,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
184348,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
184348,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
184782,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
185129,crawl,africana,"Gender, Africana, and Latin American Studies","Gender, Africana, and Latin American Studies",70,bare_studies_name|bucket_match:africana
185129,crawl,black,African and African American Studies,African and African American Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:black
185129,crawl,black,African and African-American Studies,"African and African-American Studies|African and African-American Studies, Minor",70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
185129,crawl,ethnic,Ethnic and Immigration Studies,Ethnic and Immigration Studies,70,bare_studies_name|bucket_match:ethnic
186131,crawl,african,African Studies,African Studies,90,bare_studies_name|anchor_phrase|bucket_match:african
186131,crawl,african,Program in African Studies,Program in African Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:african
186131,crawl,black,African American Studies,African American Studies,70,bare_studies_name|bucket_match:black
186131,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
186201,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
186201,crawl,ethnic,Ethnicity and Race Studies,Ethnicity and Race Studies,70,bare_studies_name|bucket_match:ethnic
186201,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
186371,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
186380,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
186380,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
186399,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
186399,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
186584,crawl,africana,Africana Studies,Africana Studies|Africana Studies (B.A.)|Africana Studies Program,90,bare_studies_name|anchor_phrase|bucket_match:africana|degree_token|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
186584,crawl,africana,Africana Studies Program Minor in Africana Studies,Africana Studies Program Minor in Africana Studies,90,strong_token|anchor_phrase|bucket_match:africana
186584,crawl,africana,B.A in Africana Studies,B.A in Africana Studies,100,degree_token|bare_studies_name|anchor_phrase|bucket_match:africana
186584,crawl,africana,BA Africana Studies,BA Africana Studies,100,degree_token|bare_studies_name|anchor_phrase|bucket_match:africana
186584,crawl,africana,Minor in Africana Studies,Minor in Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
186584,crawl,mena,Middle Eastern and North African Studies,Middle Eastern and North African Studies,100,bare_studies_name|anchor_phrase|compound_anchor|bucket_match:mena
186584,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
186876,crawl,africana,Africana Studies,"Ariane Hutchins-Newman , Associate Provost for Academic Success - certificate in Africana Studies, Stockton University|B.A. in Africana Studies|John Gray , Instructor of Organizational Leadership - certificate in Africana Studies, Stockton University|a comprehensive list of Africana Studies majors and possible career paths.",100,anchor_phrase|compound_anchor|bucket_match:africana|degree_token|degree_phrase|bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
186876,crawl,africana,Minor in Africana Studies,Minor in Africana Studies,100,strong_token|bare_studies_name|anchor_phrase|bucket_match:africana
186876,crawl,africana,"Rhea Boyd , Pediatrician - BA in Africana Studies, University of Notre Dame","Rhea Boyd , Pediatrician - BA in Africana Studies, University of Notre Dame",100,degree_token|degree_phrase|anchor_phrase|bucket_match:africana
186876,crawl,black,Africana Studies,"Darrell Cleveland , Associate Professor of Education and Africana Studies - BA in African American Studies, Temple University",100,degree_token|degree_phrase|anchor_phrase|compound_anchor|bucket_match:black|profile_dash
186876,crawl,black,"Angela Bassett , Actress - BA in African American Studies, Yale University","Angela Bassett , Actress - BA in African American Studies, Yale University",100,degree_token|degree_phrase|bucket_match:black
186876,crawl,black,"Ava DuVernay , Director - BA in English literature and African-American studies, UCLA","Ava DuVernay , Director - BA in English literature and African-American studies, UCLA",100,degree_token|degree_phrase|bucket_match:black
186876,crawl,black,Black Studies,"Jose Antonio Vargas , Journalist - BA in political science and Black Studies, San Francisco State University",100,degree_token|degree_phrase|anchor_phrase|compound_anchor|bucket_match:black
186876,crawl,black,"Gloria Naylor , Novelist - MA in African American Studies, Yale University","Gloria Naylor , Novelist - MA in African American Studies, Yale University",100,degree_token|degree_phrase|bucket_match:black
186876,crawl,black,"Issa Rae , Actress and Writer - BA in African and African-American Studies, Stanford University","Issa Rae , Actress and Writer - BA in African and African-American Studies, Stanford University",100,degree_token|degree_phrase|bucket_match:black
186876,crawl,black,"Mae Jemison , Engineer, Astronaut - BA in African and Afro-American Studies, Stanford University","Mae Jemison , Engineer, Astronaut - BA in African and Afro-American Studies, Stanford University",100,degree_token|degree_phrase|bucket_match:black
186876,crawl,black,"Michelle Obama , Former FLOTUS - BA in Sociology and minor in African-American studies, Princeton University","Michelle Obama , Former FLOTUS - BA in Sociology and minor in African-American studies, Princeton University",100,strong_token|degree_token|degree_phrase|bucket_match:black
187134,crawl,african,African Studies,African Studies|African Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:african|strong_token|anchor_phrase|bucket_match:african
187134,crawl,black,African American Studies,African American Studies|African American Studies Minor,70,bare_studies_name|bucket_match:black|strong_token|bucket_match:black
187134,crawl,black,African American Studies Major/Specialization Minor Teacher Preparation,African American Studies Major/Specialization Minor Teacher Preparation,70,strong_token|bucket_match:black
187134,crawl,black,Inclusive Education (BS) and African American Studies Dual,Inclusive Education (BS) and African American Studies Dual Major,100,strong_token|degree_token|bucket_match:black
187134,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
187985,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
188429,crawl,black,"African, Black and Caribbean Studies","African, Black and Caribbean Studies",70,bare_studies_name|bucket_match:black
189097,crawl,africana,Africana Studies,Africana Studies|Africana Studies Major|Africana Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
189097,cv,african,African Studies,African Studies,100,bare_studies_name|anchor_phrase|bucket_match:african|cv_bonus
190099,crawl,africana,Africana And Latin American Studies,Africana And Latin American Studies Program,70,strong_token|bucket_match:africana
190099,crawl,africana,Africana and Latin American Studies,Africana and Latin American Studies|Africana and Latin American Studies Major|Africana and Latin American Studies Minor,70,bare_studies_name|bucket_match:africana|strong_token|bucket_match:africana
190415,crawl,africana,Africana Studies,Africana Studies|Africana Studies (BA)|Africana Studies (PhD)|Africana Studies Minor,90,bare_studies_name|anchor_phrase|bucket_match:africana|degree_token|anchor_phrase|bucket_match:africana|strong_token|anchor_phrase|bucket_match:africana
190415,crawl,black,Black studies,Black studies program,90,strong_token|anchor_phrase|bucket_match:black
190415,cv,black,African-American/Black Studies,African-American/Black Studies,100,bare_studies_name|anchor_phrase|bucket_match:black|cv_bonus
190512,crawl,black,Black and Latino Studies,Black and Latino Studies,70,bare_studies_name|bucket_match:black
190549,crawl,africana,Africana Studies,Africana Studies,90,bare_studies_name|anchor_phrase|bucket_match:africana
190549,crawl,africana,"Africana Studies, B.A.","Africana Studies, B.A.",70,degree_token|anchor_phrase|bucket_match:africana
