unitid,bucket,canonical_title,sources,program_conf_max,has_both_sources,program_conf_final
126818,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
126818,race,"Global Race, Power, and Resistance Concentration",crawl,70,False,70
127565,africana,Africana Studies,crawl,90,False,90
127565,africana,Africana Studies Degree,crawl,90,False,90
127565,africana,"Africana Studies Major, B.A.",crawl,100,False,100
127565,africana,Africana Studies Minor,crawl,90,False,90
127565,africana,Explore Africana Studies Degree,crawl,90,False,90
127741,africana,Africana Studies,crawl,90,False,90
127741,africana,Foundations of Africana Studies,crawl,90,False,90
127741,black,African-American/Black Studies,cv,100,False,100
128771,african,African Studies,crawl,90,False,90
128771,african,Concentration in African Studies,crawl,100,False,100
128771,black,African-American Studies,crawl,70,False,70
128771,race,Racial Justice Certificate,crawl,70,False,70
129020,african,African Studies,crawl,90,False,90
129020,africana,Africana Studies,crawl,90,False,90
129020,black,African-American/Black Studies,cv,100,False,100
129020,ethnic,"Intersectional Indigeneity, Race, Ethnicity, and Politics",crawl,70,False,70
129242,black,Black Studies,crawl,90,False,90
130493,africana,Link to Minor in Africana Studies,crawl,100,False,100
130493,ethnic,Link to Minor in Ethnic Studies,crawl,100,False,100
130493,race,Link to Minor in Racial and Intersectional Justice Studies,crawl,70,False,70
130794,african,African Studies,crawl|cv,100,True,100
130794,black,African-American/Black Studies,cv,100,False,100
130794,black,Black Studies,crawl,90,False,90
130794,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
130943,africana,Africana Studies,crawl,90,False,90
130943,black,African-American/Black Studies,cv,100,False,100
131469,african,African Studies,cv,100,False,100
131520,african,African Studies,crawl|cv,100,True,100
131520,black,African-American/Black Studies,cv,100,False,100
131520,black,Afro-American Studies,crawl,70,False,70
134097,black,African-American/Black Studies,cv,100,False,100
134130,black,African American Studies,crawl,70,False,70
134130,black,African-American/Black Studies,cv,100,False,100
135726,africana,Africana Studies,crawl,90,False,90
136950,black,African and African American Studies,crawl,100,False,100
136950,black,Dive into African and African-American Studies,crawl,70,False,70
136950,mena,Middle Eastern and North African Studies,crawl,100,False,100
137351,africana,Africana Studies,crawl,90,False,90
137351,africana,Africana Studies B.A.,crawl,70,False,70
137351,africana,"Interdisciplinary Social Sciences B.A., with Africana Studies Concentration",crawl,100,False,100
138600,african,African Studies,cv,100,False,100
138947,africana,Africana Women's Studies,crawl,70,False,70
138947,black,African American Studies,crawl,70,False,70
139658,african,African Studies,crawl|cv,100,True,100
139658,black,African American Studies,crawl,70,False,70
139658,black,African-American/Black Studies,cv,100,False,100
139940,africana,"Africana Studies, B.A.",crawl,70,False,70
139940,black,African-American/Black Studies,cv,100,False,100
139940,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
139959,black,African-American/Black Studies,cv,100,False,100
140447,black,African-American/Black Studies,cv,100,False,100
140553,black,African-American/Black Studies,cv,100,False,100
141060,african,African Diaspora Studies,crawl,70,False,70
141264,africana,Africana Studies,crawl,90,False,90
141264,africana,Africana Studies Certificate,crawl,90,False,90
141264,africana,Minor in Africana Studies,crawl,100,False,100
141574,ethnic,Esteem for Ethnic Studies,crawl,90,False,90
141574,ethnic,"Ethnic Studies, BA/Educational Administration, MEd",crawl,70,False,70
141574,ethnic,"Ethnic Studies, BA/Educational Foundations, MEd",crawl,70,False,70
141574,ethnic,"Ethnic Studies, Certificate",crawl,90,False,90
141574,ethnic,Give a Gift to Ethnic Studies,crawl,90,False,90
142115,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
143084,african,African Studies,cv,100,False,100
143084,africana,Africana Studies,crawl,90,False,90
143358,black,African American Studies,crawl,70,False,70
144050,african,African Studies,cv,100,False,100
144050,black,African American Studies,crawl,70,False,70
144050,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
144740,black,African-American/Black Studies,cv,100,False,100
144892,africana,Africana Studies,crawl,90,False,90
144962,race,Race and Ethnic Studies,crawl,100,False,100
145600,black,African-American/Black Studies,cv,100,False,100
145600,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
145637,black,African-American/Black Studies,cv,100,False,100
145637,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
146427,black,African-American/Black Studies,cv,100,False,100
146481,black,African American Studies,crawl,70,False,70
146481,black,African-American/Black Studies,cv,100,False,100
146612,black,African American Studies,crawl,70,False,70
146612,ethnic,Ethnic and Cultural Studies,crawl,70,False,70
146719,african,African Studies,crawl,100,False,100
146719,black,African-American/Black Studies,cv,100,False,100
146719,ethnic,Race and Ethnicity Interdisciplinary,crawl,70,False,70
147013,ethnic,Ethnic Studies,crawl,90,False,90
147767,african,African Studies,cv,100,False,100
147767,black,African-American/Black Studies,cv,100,False,100
147767,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
147776,black,African and African American Studies,crawl,100,False,100
148487,black,African-American/Black Studies,cv,100,False,100
148627,black,African American Studies,crawl,70,False,70
148627,black,African-American Studies,crawl,70,False,70
148627,black,African-American Studies Undergraduate,crawl,70,False,70
149222,africana,Africana Studies,crawl,100,False,100
149222,black,African-American/Black Studies,cv,100,False,100
149231,african,African Studies,crawl,90,False,90
149231,black,Black Studies,crawl,90,False,90
150400,africana,Africana Studies,crawl,90,False,90
150400,africana,Africana Studies Major,crawl,90,False,90
150400,black,African-American/Black Studies,cv,100,False,100
150455,black,African and African American Studies,crawl,100,False,100
150455,black,African-American/Black Studies,cv,100,False,100
151324,black,African and African American Studies,crawl,100,False,100
151324,black,African-American/Black Studies,cv,100,False,100
151351,black,African-American/Black Studies,cv,100,False,100
151351,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
152080,africana,Africana Studies,crawl,90,False,90
152080,black,African-American/Black Studies,cv,100,False,100
152080,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
152673,black,Black Studies,crawl,90,False,90
153144,black,African American Studies,crawl,70,False,70
153162,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
153603,black,African and African American Studies,crawl,100,False,100
153658,black,African American Studies,crawl,70,False,70
153658,black,"African American Studies, Graduate Certificate",crawl,70,False,70
153658,black,"African American Studies, Graduate Certificate African American Studies, Graduate Certificate Graduate Certificates",crawl,70,False,70
153658,black,"African American Studies, Minor African American Studies, Minor Undergraduate Minors",crawl,70,False,70
153658,black,African-American/Black Studies,cv,100,False,100
153658,black,Graduate Certificate in African American Studies,crawl,100,False,100
153834,africana,Africana Studies,crawl,90,False,90
153834,black,African-American/Black Studies,cv,100,False,100
155317,african,African Studies,cv,100,False,100
155317,african,Graduate Certificate in African Studies,crawl,100,False,100
155317,black,African and African-American Studies,crawl,100,False,100
155317,black,BGS in African and African-American Studies,crawl,70,False,70
155317,black,Dual Degree: MA in Museum Studies and African and African-American Studies,crawl,100,False,100
155317,black,Graduate Certificate in African-American Studies,crawl,100,False,100
155317,black,Minor in African and African-American Studies,crawl,100,False,100
155317,ethnic,Undergraduate Certificate in Race and Ethnicity in the U.S.,crawl,70,False,70
155399,ethnic,Ethnic Studies,cv,100,False,100
156295,black,African and African American Studies,crawl,100,False,100
156295,black,African-American/Black Studies,cv,100,False,100
156620,black,African and African American Studies,crawl,100,False,100
157085,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
157289,africana,Pan-African Studies,crawl,90,False,90
157289,black,African-American/Black Studies,cv,100,False,100
157951,africana,Africana American Studies,crawl,70,False,70
157951,africana,Africana Studies,crawl,90,False,90
157951,black,African American Studies,crawl,70,False,70
157951,black,Degrees and Programs African American Studies,crawl,70,False,70
159391,black,African and African American Studies,crawl,100,False,100
160755,africana,Africana Studies,crawl,100,False,100
160755,africana,"Studio Art with a concentration in Africana Studies, MFA",crawl,90,False,90
160977,black,African-American/Black Studies,cv,100,False,100
161004,african,African Studies,cv,100,False,100
161004,africana,Africana Studies,crawl,90,False,90
161004,mena,Middle Eastern and North African Studies,crawl,100,False,100
161004,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
162654,africana,Africana Studies,crawl,90,False,90
163268,africana,Africana Studies,crawl,90,False,90
163268,black,African-American/Black Studies,cv,100,False,100
163286,black,African-American/Black Studies,cv,100,False,100
164216,black,Black Studies,crawl,90,False,90
164465,african,African Studies Certificate,crawl,90,False,90
164465,black,African-American/Black Studies,cv,100,False,100
164465,black,Black Studies,crawl,90,False,90
164924,african,African and African Diaspora Studies,crawl,70,False,70
164988,african,African Language,crawl,70,False,70
164988,african,African Studies,crawl,100,False,100
164988,african,Minor in African Languages and Literatures,crawl,70,False,70
164988,african,Minor in African Studies,crawl,100,False,100
164988,black,African American and Black Diaspora Studies,crawl,100,False,100
164988,black,African American and Black Diaspora Studies BA in African American and Black Diaspora Studies Minor in African American and Black Diaspora Studies,crawl,100,False,100
164988,black,Minor in African American and Black Diaspora Studies,crawl,70,False,70
164988,mena,Middle East and North Africa Studies,crawl,70,False,70
165015,black,African and African American Studies,crawl,100,False,100
165015,black,African-American/Black Studies,cv,100,False,100
166027,black,African and African American Studies,crawl,100,False,100
166027,black,African-American/Black Studies,cv,100,False,100
166027,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
166638,africana,Africana Studies,crawl,90,False,90
166939,african,African Studies,crawl,90,False,90
166939,africana,Africana Studies,crawl,90,False,90
166939,africana,Africana Studies Major Pathway/Minor,crawl,90,False,90
166939,black,African-American/Black Studies,cv,100,False,100
166939,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
167783,african,African Studies,cv,100,False,100
167783,africana,Africana Studies,crawl,90,False,90
167835,african,African Studies,crawl,90,False,90
167835,african,Contact African Studies,crawl,90,False,90
167835,africana,Africana Studies,crawl,90,False,90
167835,black,African-American/Black Studies,cv,100,False,100
167987,black,Black Studies,crawl,90,False,90
168148,black,African-American/Black Studies,cv,100,False,100
168218,africana,Africana,crawl,70,False,70
168218,africana,Africana Studies,crawl,90,False,90
168218,black,African-American/Black Studies,cv,100,False,100
168218,ethnic,Comparative race and ethnicity,crawl,70,False,70
168546,ethnic,Ethnic Studies,crawl,100,False,100
169080,africana,Africana Studies,crawl,90,False,90
169798,black,African-American/Black Studies,cv,100,False,100
170082,africana,Africana Studies,crawl,90,False,90
172644,black,African American Studies,crawl,100,False,100
172644,black,African American studies bachelor's degree career outlook,crawl,70,False,70
172644,black,African-American/Black Studies,cv,100,False,100
172644,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
172699,black,African American and African Studies,crawl,100,False,100
172699,black,African-American/Black Studies,cv,100,False,100
173258,africana,Africana Studies,crawl,90,False,90
173258,africana,Africana Studies major,crawl,90,False,90
173258,minority,"Ethnic, Cultural Minority, and Gender Studies, Other",cv,100,False,100
173902,african,African Studies,crawl,90,False,90
